עומר טייכר | מדריך וטכנאי מחשבים: (16:33) : אתם יכולים לרשום בצ'אט מה שאתם רוצים, לשאול שאלות, להעיר הערות, 
עומר טייכר | מדריך וטכנאי מחשבים: (20:11) : הייתה... הפסקת חשמה לו. והדיסק הקשיח הלך. כל העבודה נעלמה. אני זוכר אותו באותו רגע, אני אפילו נזכר בזה עכשיו. חיוור, כפו, כמעט ולא נשם. לרגע חשבתי שהוא יקבל את כיף לבו. 
עומר טייכר | מדריך וטכנאי מחשבים: (20:32) : לא היה לו גיבוי. וזה היה רגע ששינה אותי. שם הבנתי בפעם הראשונה כמה המידע הזה חשוב. וכמה בקלות הוא יכול להיעלם ומאז החלטתי שזה מה שאני רוצה לעשות לעזור לאנשים לשמור על הדברים שהכי חשובים להם 
עומר טייכר | מדריך וטכנאי מחשבים: (20:54) : אז מה בעצם הולך להיות לנו הערב? ההרצאה מחולקת לשלושה חלקים בחלק הראשון נדבר בצורה פשוטה וברורה על מה זה בכלל מחשוב ענן ולמה בכלל לשמור בענן 
עומר טייכר | מדריך וטכנאי מחשבים: (21:08) : בחלק השני נעבור לחלק המעשי נראית גם החיה איך מגדירים סנכון, איך שומרים קבצים ואיך עובדים נכון בלי להסתבך ובסיום אני אקנח בשני טיפים שימושיים שאתם יכולים ליישם כבר מחר בבוקר אז תשענו לאחורה תנו לי להוביל אתכם ובואו נתחיל שתפת למסך 
עומר טייכר | מדריך וטכנאי מחשבים: (21:39) : אז בואו נבחר להרצאה מיומנו של טכנל מחשבים, לישון בשגת עם סינכון אוטומטי לאנאנו 
עומר טייכר | מדריך וטכנאי מחשבים: (22:08) : אני נותן לכם שאלה למחשבה עכשיו שאתם לא חייבים לענות עליה אבל תחשבו עליה לאורך כל ההרצאה אם 
עומר טייכר | מדריך וטכנאי מחשבים: (22:19) : עכשיו המחשב שלכם לא נילק האם אתם יודעים בוודאות שהקבצים שחשובים לכם לא נעלמים תחשבו על זה 
עומר טייכר | מדריך וטכנאי מחשבים: (22:33) : אז מה זה מחשוב ענן? 
עומר טייכר | מדריך וטכנאי מחשבים: (22:37) : מחשוב ענן זה כמו חשבון בנק. 
עומר טייכר | מדריך וטכנאי מחשבים: (22:41) : דמיינו רגע את הכסף שלכם. 
עומר טייכר | מדריך וטכנאי מחשבים: (22:46) : פעם, אם הכסף היה רק במזומן, הייתם חייבים שהכל יהיה אצלכם בכיס. אם שכחתם את הארנק, אין כסף. היום זה אחרת. הכסף לא נמצא אצלכם פיזית, אבל הוא שמור במקום בטוח. ואתם יכולים לגשת אליו מכל מקום. עם קבצים זה בדיוק אותו הדבר. הם לא חייבים להיות על המחשב עצמו. הם נמצאים במקום אחר, מאובטח. ונגיש לכם מכל מחשב, טלפון או טאבלט. המחשב הוא האמצעי, לא המקום שבו הקבצים נמצאים. למה בכלל? לשמור בענן הרבה אנשים אומרים לי עומר, 
עומר טייכר | מדריך וטכנאי מחשבים: (23:36) : עזוב אותך ענן יש לי דיסק חיצוני, אני עושה גיבוי חבל על כל שקל לפעמים זה טכנאי שהוא עשה להם גיבוי לפעמים מישהו מהמשפחה אמר להם פעם בשבוע תחבר את הדיסק או הריבוי רץ אוטומטי אז אני אומר להם סבבה בוא נסתכל רגע על הדיסק 
עומר טייכר | מדריך וטכנאי מחשבים: (23:59) : ואז קורה אחד משני דברים תודה. או שמחשב בכלל לא מזהה את הדיסק, מחברים, מנתקים, מנסים עוד פעם וכלום. או 
עומר טייכר | מדריך וטכנאי מחשבים: (24:10) : שאני פותח את הדיסק ויש שם גיבוי, אבל מלפני חודש או מלפני שנה, והקבצים בכלל לא מעודכנים. 
עומר טייכר | מדריך וטכנאי מחשבים: (24:20) : לא כמישהו עשה משהו לא בסדר, אלא כגיבוי כזה צריך לזכור. צריך לזכור לחבר את הדיסק, צריך לזכור לבדוק. 
עומר טייכר | מדריך וטכנאי מחשבים: (24:31) : צריך לזכור שזה בכלל קיים. 
עומר טייכר | מדריך וטכנאי מחשבים: (24:35) : ואנשים לא זוכרים. 
עומר טייכר | מדריך וטכנאי מחשבים: (24:37) : במהלך השנים ניסיתי הכל. אמרתי לאנשים, תשימו סזקורת ביומן, תכתבו לכם, תעשו פעם בשבוע. זה לא עובד. זה פשוט לא עובד. כל דבר שצריך לעשות ידנית, 
עומר טייכר | מדריך וטכנאי מחשבים: (24:54) : בסוף לא קורה. ופה בדיוק היתרון של הענן, כי הוא לא קסם, אבל הוא אוטומטי. לא צריך לזכור, לא צריך להתעסק, זה פשוט קורה. הוא בגיבויים, אוטומטי מנצח ידני כל פעם. 
עומר טייכר | מדריך וטכנאי מחשבים: (25:10) : אז למה דווקא גוגל דרייב? אני לא אעלה אתכם בפרטים, אני אתן לכם שתי סיבות. שבהם אני בוחר בגוגל דרייב לעבוד איתו ולהשתמש בו 
עומר טייכר | מדריך וטכנאי מחשבים: (25:20) : בעצמי על המחשבים שלי ועם הלקוחות שלי קודם כל הוא נוח הוא יוצא קונן וירטואלי במחשב אנחנו נראה את זה אני אראה את זה במהלך ההרצאה בהדגמה החיה תזכרו את זה רק 
עומר טייכר | מדריך וטכנאי מחשבים: (25:33) : ואימות דו שלבי כברת מחדלו 
עומר טייכר | מדריך וטכנאי מחשבים: (25:38) : מי שלא יודע אימות דו שלבי אני מניח שרובכם יודעים עימודו שלבי זה השלב שאתם מכניסים את הסיסמה שלכם ואז אתם מקבלים סיסמה קוד בין 6 ספרות לטלפון, לטאבלט או לכל דבר. אתם לוחצים, אתם יכולים ללחוץ כן זה אני או לחשבון בנק, אתם רושמים את 
עומר טייכר | מדריך וטכנאי מחשבים: (25:58) : 6 הספרות או 
עומר טייכר | מדריך וטכנאי מחשבים: (26:01) : לקופת חולים שלכם לכל דבר. זה עימודו שלבי. השלב הראשון זה הסיסמה, השלב השני זה הקוד שקיבלתם לטלפון. עכשיו בהרבה מאוד עננים. והרבה מאוד חשבונות, עננים, 
עומר טייכר | מדריך וטכנאי מחשבים: (26:17) : תוכנות צריך להגדיר את האימות הדושלבי ואם אנחנו לא מגדירים אותו אנחנו בסכנה כי אם פורצים לנו את החשבון נכנסים ישירות פייסבוק נגיד, אינסטגרם שפורצים הרבה, למה? כי אין לנו אימות דושלבי, אנחנו לא תמיד מגדירים את זה זוכרים מה אמרתי לכם, מה שצריך לעשות ידנית בדרך כלל לא קורה אנחנו קצת פסיביים בהתנהלות שלנו כבני אדם אבל בגוגל הם עושים את זה באופן אוטומטי, פתחתם חשבון אוטומטי מודו שלבי, אין פה משחקים, תגדירו לא תגדירו לכן זה בטוח לכל המשתמשים 
עומר טייכר | מדריך וטכנאי מחשבים: (26:52) : אז האם זה בחינם, נעשה טיפה בריף 
עומר טייכר | מדריך וטכנאי מחשבים: (26:55) : החשבון החינמי שאתם מקבלים זה 15 ג'יגה זה משמש את התמונות, את האימיילים שלכם, את הקבצים שלכם, באמשך אנחנו ניגע בהכל אתם מקבלים 15 ג'יגה של יחסון רוב האנשים זה לא מספיק להם, 
עומר טייכר | מדריך וטכנאי מחשבים: (27:14) : ה-15 ג'יגה האלה. אחרי זה יש לנו את ה-100 ג'יגה, שזה 80 שקל פחות או יותר לשנה, 200 ג'יגה, ומשם קופצים ישירות לשני טרה, שזה פי 10, 
עומר טייכר | מדריך וטכנאי מחשבים: (27:28) : שזה איחסון גדול, זה כבר 390 שקל לשנה, שזה לא מעט, אבל לרובכם לא צריכים את זה, אני מאמין שהמקסום שתצטרכו זה ה-200 ג'יגה, ואם ממש אתם לא רוצים לשלם, יכולים לשאיר בחינמי, אפילו 
עומר טייכר | מדריך וטכנאי מחשבים: (27:44) : שזה לא מספיק. אבל יחס העלות תועלת מאוד משתלם, זאת אומרת שהיחס בין כמה שאתם משלמים לכמה שאתם מקבלים מאוד מאוד משתלם. 
עומר טייכר | מדריך וטכנאי מחשבים: (27:54) : אז נקנח במקרה של מיכלו. 
עומר טייכר | מדריך וטכנאי מחשבים: (27:58) : לפני כמה חודשים התקשרה לה עם מיכלו. מעצבת גרפית מוכשרת ומוכרת בראשון נציון. 
עומר טייכר | מדריך וטכנאי מחשבים: (28:05) : היא עובדת המון עם עסקים באזור. היא הייתה בלחץ, אומר המחשב שלי קרס, אני לא מצליחה להפעיל אותו וכל הקבצים שלי בפנים 
עומר טייכר | מדריך וטכנאי מחשבים: (28:15) : הדבר הראשון ששאלתי יש גיבוי? והיא ענתה מיד ברור אני תמיד שומרת את הקבצים שלי כי יש לי דיסק חיצוני 
עומר טייכר | מדריך וטכנאי מחשבים: (28:24) : זמין היא הייתה בטוחה שזה מספיק, אבל כשגילין שבדקנו ביחד גילינו שהגיבוי האחרון היה לפני חמישה חודשים מאז היו עשרות פרויקטים חדשים, קבצים חשובים, עיצובים, חוזים, חשבוניות ושום דבר מזה לא היה מגובה וזה בדיוק העניין, גיבוי בדיסק השיח הוא לא אוטומטי והוא לא תמיד מעודכן קל לחשוב שהכל נשמר ולגלות את זה שכבר מאוחר מדי הנסתל שחזר את המידע במעבדה מקצועית, שילמה אלפי שקלים, הצליחו להחזיר חלק אבל תרוב המידע לא הצליחו והוא פשוט נעלם לקוחות נפגעו, המוניטין שלה נפגע וגם היא נשארה עם לב שבור. מאז היא לא מסתפקת בגיבוי חיצוני, היא עברה לענן אוטומטי ומתעדכן בזמן אמת בלי הפתעות. לפני שאני אעבור להדגמה חיה אני רוצה לדבר על עוד משהו קטן, 
עומר טייכר | מדריך וטכנאי מחשבים: (29:22) : זה איך הדיסק הקשיח החיצוני שלכם עובד. אני מניח שלרובכם יש דיסק קשיח חיצוני שעליו אתם מגבים דברים. 
עומר טייכר | מדריך וטכנאי מחשבים: (29:32) : דיסק השיער חיצוני עובד כמו פאטיפון תראו את החתול החמוד הזה שאני קצת אלרגי לחתולים אבל 
עומר טייכר | מדריך וטכנאי מחשבים: (29:40) : דיסק הקשה עובד בעזרת מחת ודיסק. המחת כותב וקורא מהדיסק כל הזמן. מה שקורה שלאט לאט הדיסק הולך ונשחק וגם הוא מאוד רגיש לזעזועים. אם אנחנו מזיזים אותו ממקום למקום, אם הוא בטעות חז ושלום נופל, אם איזה ילד משחק איתו או מטלטל אותו, המחת יכולה להתנתק או 
עומר טייכר | מדריך וטכנאי מחשבים: (30:08) : להתעקע על הדיסק ואנחנו פשוט לא מצליחים לקרוא יותר מהדיסק הלך הדיסק וגם עם הזמן פשוט נהיה איטי יותר ויותר זאת אומרת שדיסק חיצוני הוא לא בהכרח דבר שהוא ודאי ובטוח לכן צריך להתייחס אליו בהירבון מוגבל עכשיו נעבור ללייב שלנו 
עומר טייכר | מדריך וטכנאי מחשבים: (30:32) : תכף אם יש לכם שאלות כל דבר שאתם רוצים לדעת 
עומר טייכר | מדריך וטכנאי מחשבים: (30:38) : אתם מוזמנים 
עומר טייכר | מדריך וטכנאי מחשבים: (30:41) : לשאול אותי. השלב הראשון שאני רוצה להראות לכם בלייב, זה את השירות של גוגל שרובכם אולי מכירים, אולי לא מכירים, אבל אני מאמין שלא עובדים איתו. הוא נקרא, רגע, הוא נקרא גוגל וואנו. 
עומר טייכר | מדריך וטכנאי מחשבים: (30:57) : כשאתם פותחים את האחרון שלכם, קבוצת הפייסבוק נקרא תשאל טכניים מחשבים תמיכה טכנית. קבוצה מאוד גדולה ופעילה. אז כשאתם פותחים את הדפן שלכם, גוגל חרום, אתם יכולים לראות בצד שמאל למעלה, שאלה מכם בעברית, שיש כפתור עם תשע נקודות, סוג של ופל בלגי כזה. לוחצים עליו, יש פה את כל השירותים של גוגל. אחד השירותים נקרא גוגל וואן. 
עומר טייכר | מדריך וטכנאי מחשבים: (31:27) : אם אנחנו נכנסים לשירות הזה, אנחנו יכולים לראות בשירות הזה, רגע, זה השירות ש... יושב על החשבון רגע רגע רגע רגע 
עומר טייכר | מדריך וטכנאי מחשבים: (31:40) : רגע 
עומר טייכר | מדריך וטכנאי מחשבים: (31:42) : אני אכנס שוב אני אכנס שוב 
עומר טייכר | מדריך וטכנאי מחשבים: (31:46) : אני אכנס שוב לחשבון 
עומר טייכר | מדריך וטכנאי מחשבים: (31:49) : יפה אנחנו נראות 
עומר טייכר | מדריך וטכנאי מחשבים: (31:52) : בחשבון הזה שלי שבחשבון הדגמות שלי שכרגע אני נמצא על החבילה החינמית של גוגל 
עומר טייכר | מדריך וטכנאי מחשבים: (32:01) : ואני יכול לראות בחלק העליון 
עומר טייכר | מדריך וטכנאי מחשבים: (32:05) : כמה ניצלתי מתוך סך הכל הנפח שלי. תראו איך אני רואה את זה. כשאני נכנס לשירות ה-Google One, One Google, 
עומר טייכר | מדריך וטכנאי מחשבים: (32:17) : נכון. 
עומר טייכר | מדריך וטכנאי מחשבים: (32:19) : ל-One Google אני יכול לראות שיש לי כמה ריבועים. הריבוע הראשון לשטח היחסון, גיבוי שאנחנו תכף נדבר עליו, ופינוי מקום ביחסון. בשטח היחסון אני יכול לראות כמה 
עומר טייכר | מדריך וטכנאי מחשבים: (32:31) : סך הכל יש לי מידע נפח. 15 ג'יגה וכמה אני הצלתי 12.43 וכמה בשימוש. בגיבוי 
עומר טייכר | מדריך וטכנאי מחשבים: (32:43) : אני רואה לא את הגיבוי מהמחשב, יש לקוחות שאומרים לי אני רואה שהגיבוי מושבת, אלא הגיבוי מהטלפון, זה הגיבוי של הנתונים שלכם וההגדרות שלכם. 
עומר טייכר | מדריך וטכנאי מחשבים: (32:58) : אז זה נמצא תחס הסעיף גיבוי. בחשבון ההדגמות שלי אני לא מגבל הטלפון, אתם לא רואים את הגיבוי. 
עומר טייכר | מדריך וטכנאי מחשבים: (33:06) : ופינוי מקום ביחסון שאנחנו תכף ניגע בו איך אני מפנה מקום ביחסון מצורה חכמה 
עומר טייכר | מדריך וטכנאי מחשבים: (33:12) : הדבר הראשון שאני רוצה להיכנס אליו זה שטח היחסון שלי זה איך אני רואה כל מה נמצא בחשבון הגוגל שלי 
עומר טייכר | מדריך וטכנאי מחשבים: (33:20) : אני נכנס פנימה ואני יכול לראות שכתוב לי ניצלתי 82% משטח היחסון אני יכול להגדיל את הנפח בעצם כשאני מנצל לשטח היחסון שלי יש לי שתי אפשרויות האפשרות הראשונה שיש לי זה לקנות עוד מקום, נגיד יש לי עכשיו 15 ג'יגה, אני יכול לקנות 100 ג'יגה, 200 ג'יגה, 2 טרה, זה דבר ראשון. הדבר השני שאני יכול לעשות זה לפנות שטח מהיחסון, תחשבו במחשב שלכם, המחשב שלכם מתפוצץ, יש לכם בעיית מקום, או שאתם קונים דיסק חדש או שאתם מפנים מקום. אימוש שאני לא אפשר לחפש, זה כל הטלפון, שטח מחסון, אני ענה על כל השאלות, כל השאלות שיש לכם אני רואה את השאלות. אני אענה עליו. 
עומר טייכר | מדריך וטכנאי מחשבים: (34:08) : אז מה בעצם נכלל בשטח היחסון שלי של גוגל? בשטח היחסון שלי של גוגל נכללים שלושה שירותים מרכזיים. השירות הראשון זה גוגל דרייב. מה זה גוגל דרייב? גוגל דרייב זה ענן הקבצים שלי. זה בעצם המקום שבו נמצאים הקבצים הפיזיים. לא אימיילים, לא תמונות, קבצים זה יכול להיות מסמכים. אום 
עומר טייכר | מדריך וטכנאי מחשבים: (34:37) : פי די אפים, קבצי וורד, סרטונים אולי, כל מיני קבצים שהם לא מסמכים, שהם לא אימיילים ולא תמונות. כל הקבצים שיש לכם במחשבו. 
עומר טייכר | מדריך וטכנאי מחשבים: (34:49) : הדבר השני שיש לנו זה ה-Gmail, זה האימייל שיש לנו, אני לא ארחיב עליו, כולכם מכירים את זה, ואתם יכולים לראות שבג'ימייל יש גם נפח יחסון, 
עומר טייכר | מדריך וטכנאי מחשבים: (35:01) : ממה הוא נובע, מהקבצים המצורפים שאתם מקבלים בדרך כלל. זה מגדיל את שטח היחסון, גם האימיילים שאתם מקבלים תופסים נפח ויש לנו את הגוגל פוטו זו. גוגל פוטו זה בעצם התמונות שאתם מעלים מטלפון האנדרואיד שלכם לענן של גוגל. 
עומר טייכר | מדריך וטכנאי מחשבים: (35:24) : יש לכם אפליקציה בטלפון שנקראת תמונות או פוטו זו, למי שיש את האפליקציה הזאת באנגלית ויש לה הגדרת הברית המחדל שלו. מי שלא יודע מה זה ברירת מחדל אז אני אסביר, אוקיי? ברירת מחדל זאת האפשרות האוטומטית שקיימת בטלפון או באפליקציה או במכשיר לפני שאתם משנים אותה. למשל, ההגדרה האוטומטית שיש לכם בטלפון זה להעלות את כל התמונות שלכם לענן. אתם יכולים באופן ידני להשביט את זה. זאת אומרת שהתמונות, ברור שהן עולות לענן, הן תופסות לנו נפח. עכשיו איך בעצם יש את ה... קשר 
עומר טייכר | מדריך וטכנאי מחשבים: (36:07) : בין שלושת השירותים האלה. 
עומר טייכר | מדריך וטכנאי מחשבים: (36:11) : הנה משל, אנחנו מגבים את המחשב. כשאנחנו מסנכרנים את המחשב לענן, כל הקבצים שלנו נמצאים על גוגל דרייב. אני תכף אראה את זה. עכשיו אני מדבר, תכף אני אראה לכם את התוכנה הכי מבצעת את זה. 
עומר טייכר | מדריך וטכנאי מחשבים: (36:26) : כל הקבצים נשארים על גוגל דרייב. תכף אני אראה לכם גם את השירות איך הוא נראה באינטרנט כשאנחנו מגבים את המחשב ואנחנו מנצלים את כל שטח היחסון שלנו, אנחנו נגלה שאנחנו לא מצליחים לקבל אימיילים יותר לג'ימייל. למה? כי בעצם מגבלת היחסון שלנו נגמרה. ואז לא שאנחנו נפנה מקום, כמו שאני אראה לכם תכף, או שאנחנו נקנה עוד מקום. 
עומר טייכר | מדריך וטכנאי מחשבים: (36:53) : לרוב בחשבון החינמי אנחנו נאלץ לקנות עוד מקום. למה? כי כמה אפשר לפנות כבר מ-15 ג'יגה זה כמו שיש לכם במחשב קונן קטן של קובצים ואתם למשל מתקשרים ואומרים לטכנאי תפנה לי מקום כמה מקום כבר אפשר לפנות מדיס קטן. אתם אומרים עדיף להגדיל ההכנסה מלצמצם הוצאות כי לצמצם לפעמים זה קשה אבל להגדיל זה לפעמים 
עומר טייכר | מדריך וטכנאי מחשבים: (37:21) : יותר ריאלי. 
עומר טייכר | מדריך וטכנאי מחשבים: (37:24) : אז 
עומר טייכר | מדריך וטכנאי מחשבים: (37:26) : יש לכם למטה את האפשרות להגדיל. את הנפח שלכם יש לכם כל מיני עטבות לפעמים גוגל מפרסם כל מיני עטבות שאתם יכולים לקבל 
עומר טייכר | מדריך וטכנאי מחשבים: (37:36) : אם חוזרים לדף הבית אנחנו נראה כמו שאמרתי מקודם את הגיבוי מהטלפון הגיבוי פה מושבת כי זה חשבון מסוים שאני לא מגבל עליו את הטלפון אני מגבל החשבון האמיתי שלי 
עומר טייכר | מדריך וטכנאי מחשבים: (37:50) : ועוד אפשרות פינוי מקום ביחסון, מקום נהדר ומעניין ואני אכנס אליו עכשיו 
עומר טייכר | מדריך וטכנאי מחשבים: (38:00) : דרך אגב אם אני מדבר מהר מדי לא הבנתם אתם רוצים שאני אחזור על משהו אתם יודעים אני עורה אני לא אתם לא כותבים לי אתם רדומים קצת אני רואה שקראתי להרצאה לישון בשקט 
עומר טייכר | מדריך וטכנאי מחשבים: (38:14) : אתם נרדמתם אם יש לכם שאלות או דברים שרוצים שאני אחזור שאני אחדד כל דבר תכתבו לי בואו נראה 
עומר טייכר | מדריך וטכנאי מחשבים: (38:24) : שפה שאלה של עינת תודה. 
עומר טייכר | מדריך וטכנאי מחשבים: (38:27) : זה שטח איחסון, נפרד גוגל דרייב הוא חלק ממנו, אז אני הייתי לזה, גוגל דרייב זה חלק מהאיחסון, יחד עם גוגל והפוטו זו. אז בעצם אני עכשיו עובר לחלק של הניקוי, גם מאלה מכם ששמעו כבר את ההרצאה, זה חשוב שאתם תמשיכו ותיכנסו ותשמעו 
עומר טייכר | מדריך וטכנאי מחשבים: (38:47) : על האזור הזה של הניקוי, כי הוא מאוד מאוד מאוד חשוב. 
עומר טייכר | מדריך וטכנאי מחשבים: (38:51) : אני מאמין, בלי שום קשר לגיבויים ולענן, שסדר זה דבר מאוד חשוב. מי שיש לו סדר בחיים אנחנו נראה גם את הסדר שלו במחשב וההפך. 
עומר טייכר | מדריך וטכנאי מחשבים: (39:02) : אז אם הענן שלכם מבולגן ומלא קבצים לא מסודרים זה יקשה עליכם לחפש מידע, זה יקשה עליכם למצוא את הקבצים שלכם. 
עומר טייכר | מדריך וטכנאי מחשבים: (39:13) : אז בעצם האזור הזה של ניקוי הוא יראה לי בצורה מסודרת איזה קבצים כדאי לי למחוג ולנקות מההכסון שלי. 
עומר טייכר | מדריך וטכנאי מחשבים: (39:24) : אני משתמש בזה כמעט על בסיס יומי בשירות הזה, דרך אגב שתדעו, אני נכנס לשירות הזה ואני רואה איזה קבצים גדולים יש לי. למשל בואו נכנס, אני רואה שיש לי קבצים גדולים יותר מ-12. 
עומר טייכר | מדריך וטכנאי מחשבים: (39:39) : בסך הכל אני חס לבדיקה 
עומר טייכר | מדריך וטכנאי מחשבים: (39:42) : אני יכול לראות שבהכסון שלי שמרתי כל מיני טיולים מה... 
עומר טייכר | מדריך וטכנאי מחשבים: (39:50) : שהייתי קטן הבר מצווה הולנד טורונטו, רושינגטון כל מיני דברים שמפוצצים לי 
עומר טייכר | מדריך וטכנאי מחשבים: (40:00) : את הענן מפוצצים לי את ההכסון בגוגל גיבוי מהטלפון תכף אני אדבר על זה 
עומר טייכר | מדריך וטכנאי מחשבים: (40:08) : תכף אני אראה את הטלפון בסוף ההרצאה 
עומר טייכר | מדריך וטכנאי מחשבים: (40:11) : איך הגוגל דרייב נראה בטלפון ושם אני אענה על השאלה איך לגבי מהטלפון לענן 
עומר טייכר | מדריך וטכנאי מחשבים: (40:18) : אז בעצם יש לי פה כל מיני קבצים שיושבים לי בגוגל דרייב בענן הקבצים שלי כל מיני סרטונים על וושינגטון מה שאני יכול לעשות ללחץ את הקבצים האלה להוריד אותם למחשב אני כרגע אי אפשר להוריד אותם מהשירות הזה אבל אני יכול אני תכף אראה לכם איך מורידים אותם ולהעביר אותם לדיסק חיצוני למה כי אם הם ישבו על הענן שלנו הם פשוט יתפסו הרבה מקום בענן עכשיו זה קבצים שלא משתמש בהם ביום יום שלי אין צורך שהם יהיו על הענן הענן הוא רצוי שיהיה בו דברים שאנחנו משתמשים בהם בתדירות גבוהה כל מיני מסמכים שאנחנו משתמשים בהם, לא צריך שהכל יהיה בענן, אוקיי? אם מי שרוצה שהכל יהיה בענן, סבא יבא צריך לשלם, הכל טוב. אבל המשתמש הרגיל לא צריך שהכל יהיה בענן. מספיק של הדברים החשובים, שאנחנו עובדים איתם בתדירות גבוהה, כל השאר המידע, סרטונים, כל מיני גיבויים 
עומר טייכר | מדריך וטכנאי מחשבים: (41:21) : מלפני עשר שנים, חמש שנים, לא יודע, מה עדיף שיהיו בדיסק חיצוני, הכל טוב. לא צריך לעבוד על הדיסק חיצוני הזה כל הזמן. שמורים עליו את הקבצים החשובים הגדולים ומשאירים אותו בצד זה לא אומר שאם הוא רגיש אז הוא הולך להתקלקל כל רגע אם משחקים איתו הרבה ומגבים עליו הרבה ומשתמשים בה הרבה הוא מועד לפורנות אבל לא כל הזמן 
עומר טייכר | מדריך וטכנאי מחשבים: (41:46) : עכשיו, אם למשל יש לכם פה קבצים גדולים שאתם רוצים למחוק מהמערכת אתם רוצים למחוק מהנה שלכם, לא רוצים להוריד אותם, לא רוצים להעביר אותם למקום חיצוני רוצים פשוט למחוק אותם מה שאתם עושים אתם יכולים לסמן אותם אפשר לשלם כל מיני סרטונים סתם לדוגמה אני רואה סרטונים אצל לקוחות 
עומר טייכר | מדריך וטכנאי מחשבים: (42:08) : נגיד שהם היו פעם באיזה 
עומר טייכר | מדריך וטכנאי מחשבים: (42:11) : אירוע 
עומר טייכר | מדריך וטכנאי מחשבים: (42:13) : והם שמרו איזה סרטון מהאירוע איזה אירוע סתם לפני עשר שנים שיושב להם בענן לא חשוב בכלל לא זוכרו לא זוכרים מה זה האירוע הזה בכלל אפשר לסמן את הקבצים האלה 
עומר טייכר | מדריך וטכנאי מחשבים: (42:27) : ו ולמחוק אותם, והם תופסים להם המון המון מקום בזיכרון. 
עומר טייכר | מדריך וטכנאי מחשבים: (42:31) : עכשיו, אם אני מסמן את הקבצים, אני יכול לסמן את הסרטונים, או הקבצים, או התמונות, או כל דבר שיש לי, ולחוץ על מחיקה. אממה, צריכים להיות מאוד עדינים, תסתכלו, למשל, 
עומר טייכר | מדריך וטכנאי מחשבים: (42:44) : שלושה סרטונים תופסים מ-2.7 
עומר טייכר | מדריך וטכנאי מחשבים: (42:47) : ג'יגה. לפעמים סרטונים שאתם שומרים מהטלפון שלכם, 
עומר טייכר | מדריך וטכנאי מחשבים: (42:54) : תופסים ביחסות שלכם... עשרות ג'יגה לפעמים אתם לא מבינים כמה איזה כמות של מקום סרטונים יכולים לתפוס אבל אם אתם מוחקים סרטונים מהעשירות הזה 
עומר טייכר | מדריך וטכנאי מחשבים: (43:09) : גוגל וואן הוא נמחק לצמיתות אי אפשר לשחזר את הדבר הזה 
