עומר טייכר | מדריך וטכנאי מחשבים: (7:07) : תודה. 
עומר טייכר | מדריך וטכנאי מחשבים: (33:29) : בהרצאה הקודמת שלי לימדתי על תוכנה שנקראת Twin Dirstat, שמוצאת 
עומר טייכר | מדריך וטכנאי מחשבים: (33:36) : קובצים גדולים, 
עומר טייכר | מדריך וטכנאי מחשבים: (33:38) : אבל התפתחתי במהלך הזמן ומצאתי תוכנה שהיא הרבה יותר טובה ממנה, היא נקראת Tree Size. 
עומר טייכר | מדריך וטכנאי מחשבים: (33:47) : אז מהי בעצם תוכנת Tree Size? TreeSize היא תוכנה שמציגה אילו קובצים ותיקיות 
עומר טייכר | מדריך וטכנאי מחשבים: (33:56) : תופסים הכי הרבה מקום 
עומר טייכר | מדריך וטכנאי מחשבים: (33:59) : בקונן שלנו במחשב, ומסייעת בניהול שטח היחסון. 
עומר טייכר | מדריך וטכנאי מחשבים: (34:06) : אז נכיר את שירה. 
עומר טייכר | מדריך וטכנאי מחשבים: (34:08) : שירה, מדריכת טיולים בת 50, רגילה לנווט בשטח. להוביל קבוצות ולדעת בדיוק לאן היא הולכת. אבל היום היא הלכה לאיבוד. לא בטבע, לא בסמטאות של רומא, אלא במחשב שלה. המצלמה שלה מונחת על השולחן, הפתק על הבגד שלה מכריז שירה, ולידה עומד המחשב, אבל הוא לא נותן לה כיוון. היא מדברת למישהו, רק שאף אחד לא באמת נותן לה תשובות. היא קצת מוטרדת, אפילו נראית קצת עצובה, כי בכל פעם שהיא מנסה להבין מה הבעיה, המחשב רק מחזיר לה תשובה אחת. שטח היחסון כמעט מלא. איך זה קרה? לא שמרתי שום דבר גדול. היא ממלמלת לעצמה, אבל המחשב שותק. כשהיא פונה לעזרתי, אני מחליט לבדוק בדיוק מה הולך פה. 
עומר טייכר | מדריך וטכנאי מחשבים: (35:10) : אז אני אקטין את המצגת. 
עומר טייכר | מדריך וטכנאי מחשבים: (35:13) : במידה ששטח, 
עומר טייכר | מדריך וטכנאי מחשבים: (35:15) : ויש לנו הרבה קבצים במחשב, ואנחנו, במקרה שלי אתם לא תראו את זה, אבל יש אנשים שהקו שלהם הוא אדום. מה זה אומר אדום? זאת אומרת שווינדוס מגדיר את זה, שיש להם אומץ של קבצים על המחשב, וזה כבר סימן לא טוב, שהמחשב יכול לקרוס, הדיסק הקשיח יכול להיערס, אתם לא רוצים להיות הרבה זמן עם מצב. שיש פס אדום איפה שנמצא הדיסק הקשיח שלכם, אתם לא רוצים. 
עומר טייכר | מדריך וטכנאי מחשבים: (35:45) : אפשר לחפש טקסט שנמצא את הקובץ, 
עומר טייכר | מדריך וטכנאי מחשבים: (35:50) : אני אענה על זה תכף. 
עומר טייכר | מדריך וטכנאי מחשבים: (35:54) : קודם כל מה שאנחנו עושים, הדבר הראשון שאנחנו עושים, אנחנו הולכים לחפש, אני כרגע אין לי תמיד, בוא נעשיף את החפש, אתם יודעים מה נוסיף את החפש. 
עומר טייכר | מדריך וטכנאי מחשבים: (36:09) : אני הולך לחפש ואני רושם ניקוי דיסק 
עומר טייכר | מדריך וטכנאי מחשבים: (36:15) : או דיסק קלינאפ. 
עומר טייכר | מדריך וטכנאי מחשבים: (36:18) : אני לוחץ על אישור 
עומר טייכר | מדריך וטכנאי מחשבים: (36:22) : ולאחר מכן, אחרי שאני לוחץ דיסק קלינאפ, אני לא עושה ניקוי דיסק, אני עושה נקק קבצי מערכת. אני לוחץ שוב על אישור, לא הבנתי את השאלה, 
עומר טייכר | מדריך וטכנאי מחשבים: (36:34) : בצ'אט תכתבי אותה מחדש או תכתוב. 
עומר טייכר | מדריך וטכנאי מחשבים: (36:38) : אנחנו נחכה שהוא ינתח את המערכת. 
עומר טייכר | מדריך וטכנאי מחשבים: (36:44) : תסתכלו מה נפתח לפניכם. נפתח לפניכם ניקוי מתקדם של המחשב, זאת אומרת שהוא לא מנקר רק קבצים בסיסיים, במידה ועשיתם עדכון למערכת ההפעלה שלכם, הוא ימחק גם את כל העדכונים שאתם לא צריכים למערכת ההפעלה, כל מיני עדכונים גדולים קודמים, כל מיני קבצים שתופסים הרבה הרבה מקום. במקרה שלי אני עושה את זה באופן שוטף אתם רואים שהוא גם מראה לכם כמה מקום הוא עתיד לנקות אצלי זה 1 ג'יגה אבל יש אנשים שזה יכול להגיע ל-20-30 
עומר טייכר | מדריך וטכנאי מחשבים: (37:16) : ג'יגה בקלות מה שאתם צריכים להימנע זה בעצם מסל המחזור 
עומר טייכר | מדריך וטכנאי מחשבים: (37:23) : לא בהכרח רצוי למחוק את סל המחזור בעיקר כשאתם שומרים בו אני אסביר למה הוא רוצה לנקות את סל המחזור אוקיי אני אסביר הרבה אנשים 
עומר טייכר | מדריך וטכנאי מחשבים: (37:35) : שמוחקים קבצים מהמחשב הם מעבירים אותו לסל המחזור והם חושבים שהמקום שלהם במחשב מתנקה, אבל לא. מה המטרה של סל המחזור? המטרה של סל המחזור זה בעצם להיעלים לכם את הקבצים מהעין ולתת לכם אפשרות לשחזר אותם במידת הצורך שתרצו. אבל זה עדיין תופס מקום במחשב. איך המחשב בעצם יודע לשחזר אותם? הוא עדיין תופס את המקום. אם אנחנו מוחקים את הסל המחזור אנחנו מפנים את המקום מהמחשב לצמיתות. אבל במידה ואתם משתמשים בו, לא הייתי הולך כל כך מהר ומנקה אותו. רק אם אתם בטוחים שאין לכם קבצים שאתם רוצים לשחזר מסל המחזור, אז שווה לכם לנקות. זה הדבר הראשון 
עומר טייכר | מדריך וטכנאי מחשבים: (38:21) : שאני עושה כדי לנקות 
עומר טייכר | מדריך וטכנאי מחשבים: (38:24) : לפנות מקום. הדבר הראשון שאני עושה, 
עומר טייכר | מדריך וטכנאי מחשבים: (38:28) : אני הולך וכותב את המילה Tree, בואו נכתוב שוב באנגלית, נראה אם הוא ייתן לי פה, בעברית, סליחה. 
עומר טייכר | מדריך וטכנאי מחשבים: (38:37) : יפה נתן לי Tree Size אני נכנס לאתר לוחץ Free Download ונבחר Free לא צריכים לקרות את התוכנה הזאת אין צורך אני עושה אתכם את זה בלייב אני מתקין את זה אתכם 
עומר טייכר | מדריך וטכנאי מחשבים: (38:58) : שתראו שזה פשוט וזה לא בסובך 
עומר טייכר | מדריך וטכנאי מחשבים: (39:07) : תוכנות חינמיות, כלילות שלא תופסות הרבה מקום, 
עומר טייכר | מדריך וטכנאי מחשבים: (39:15) : מהירות להתקנה, לוחץ launch ו-finish. תראו מה קורה כשאני פותח את התוכנה הזאת. 
עומר טייכר | מדריך וטכנאי מחשבים: (39:25) : האם צריך להוריד את התוכנה הזאת? כן. את כל התוכנות שאני מראה צריך להוריד. הם חינמיות אבל צריך להוריד אותם. 
עומר טייכר | מדריך וטכנאי מחשבים: (39:32) : נפתח לנו מסך שבעצם אנחנו יכולים לסרוק כל... מקום במחשב שלנו אני רוצה לסרוק בעצם את קונן C, את הקונן של המערכת הפעלה, אני יכול לסרוק גם את D, אני יכול לסרוק כל קונן שיש לי במחשב, אני אסרוק את C, 
עומר טייכר | מדריך וטכנאי מחשבים: (39:47) : ותראו 
עומר טייכר | מדריך וטכנאי מחשבים: (39:49) : מה זה נותן לי, בקלי קלות, במהירות, את כל התיקיות במחשב, שתופסות לי מקום לפי הגודל שלהם במחשב. אפשר לראות שיש לנו בתיקיית Windows, לא נוגעים בתיקייה, לא נוגעים בתיקייה הזאת. יש לנו פרוגרם Data, גם בה לא נוגעים. התקיעה היחידה שאנחנו נוגעים בה היא נקראת users, בקונן C. אם זה בקונן אחר זה משהו אחר, אבל בקונן C, בקונן המערכת, אנחנו נוגעים רק בתקיעת users, תקיעת המשתמש. אנחנו לוחצים עם הלחצן הימני במקלדת, 
עומר טייכר | מדריך וטכנאי מחשבים: (40:29) : עם החץ הימני, ויש לנו את תקיעת המשתמשים, והשם של המשתמש שלי נקרא user. 
עומר טייכר | מדריך וטכנאי מחשבים: (40:36) : כשאני לוחץ שוב עם החץ הימני אני פותח את תיקיית יוזרו. התיקייה הראשונה שאנחנו נוכל לראות זה אפט דאטה, עדיף לא לגעת בה, למרות שיש דברים שאפשר למחוק בה אם הם תופסים הרבה מקום, זה תיקיית מערכת וצריך לדעת מה לנקות בה, היא תופסת הרבה מקום, יש כאלה שהיא תופסת להם מאות ג'יגה, גיגה, ג'יגה, איך שאומרים את זה, ואפשר למחוק על ידי ידיים מקצועיות, ממליץ לא לגעת בזה. כרגע יש לנו תקייה למשל יש לי תקייה של מכונות וירטואליות שאני משתמש בה יכול להיות שהתקייה הזאת אצלכם זה יכול להיות תמונות או סרטונים או הורדות זה יכול להיות כל תקייה גדולה ואתם לא צריכים אותה למחשב עצמו מומלץ להעביר את זה לדיסק קשי החיצוני גדול או להכסן את זה בענן בענן אני מדבר 
עומר טייכר | מדריך וטכנאי מחשבים: (41:33) : בהרצאה אחרת אני לא אכנס לזה כרגע אבל בשביל לפנות מקום במחשב אפשר להכסן את זה בענן או להעביר את זה לדיסק השיח חיצוני. ממליץ לכל אחד מכם שיהיה בבית דיסק השיח חיצוני. עדיף שחירו את ה-Western Digital, הם טובים, יש להם דיגמים, אלמנטס. תקנו את הדיסק השיח הזה, תמיד טוב שיש לכם. אם אתם רוצים להעביר קבצים כפולים תקנו של 1 טרה זה מספיק לפי דעתי או 2. 
עומר טייכר | מדריך וטכנאי מחשבים: (42:01) : ואז אני יכול לראות איזה קבצים יש לי להעביר. לפתוח את המיקום שלהם במחשב, כפתור ימני, אופן, 
עומר טייכר | מדריך וטכנאי מחשבים: (42:09) : אני אדבר על זה בסוף רידה, אופן, ואתם יכולים פה לראות את הקבצים שלכם, ויש לכם את תמונות, והורדות, ומסמכים, ושולחן עבודה, את הכל, ולדעת בדיוק כמה זה תופס, יש אנשים שיש להם, שהם לא יודעים בדיוק איפה הקבצים הגדולים שלהם, וברגע שהם יודעים, הם יודעים מה לעשות איתם, האם להעביר אותם לדיסק חיצוני, האם להעביר אותם, להכסן אותם בענן, זה מאוד מאוד חשוב. 
עומר טייכר | מדריך וטכנאי מחשבים: (42:39) : שוב, תוכנה פשוטה שמאפשרת לכם לנקות מקום, 
עומר טייכר | מדריך וטכנאי מחשבים: (42:44) : אין דבר יותר פשוט מהדבר הזה. אני גיליתי עוד משהו שיש בתוכנה הזאת, אפשר גם להוריד תוכנה שבודקת קבצים כפולים, עוד לא בדקתי את זה, אני אבדוק את זה, ובהרצאה הבאה אני אדבר גם על זה. 
עומר טייכר | מדריך וטכנאי מחשבים: (43:02) : אז סיכום. לסיכום בעזרת Tree Size שירה הצליחה למצוא את הקבצים שתופסים להכי הרבה מקום במחשב ולשחרר אותם. 
עומר טייכר | מדריך וטכנאי מחשבים: (43:22) : הנושא הבא שאני רוצה לדבר עליו הוא בעצם תוכנת C-Cleaner. מהי תוכנת 
עומר טייכר | מדריך וטכנאי מחשבים: (43:30) : C-Cleaner? הוא כלי יעיל שמאפשר לנקות את המחשב, להדיקן תוכנות, להסיר את התוכנות בקלות ולנהל תוכנות שפועלות אוטומטי עם המחשב. אני משלב את זה גם עם תוכנה שנקראת ספסי, תכף אתם תראו הכל. ואלה שמכם שכבר ראו, כבר היו בהרצאה, אני הולך לשדרג אתכם. הולך לתת לכם טיפ למתקדמים. 
עומר טייכר | מדריך וטכנאי מחשבים: (43:55) : אז נכיר את דינה. 
עומר טייכר | מדריך וטכנאי מחשבים: (43:59) : דינה בת 55 מורה במקצוע שמנהלת את כל חומרי ההוראה שלה מהמחשב הביתי. לאחרונה היא שמה לב שהמחשב שלה מתחיל לעבוד לאט יותר, במיוחד כשיש לה תוכנות פתוחות כמו פאורפוינט וזום. דינה יודעת שהמחשב שלה צריך קצת ניקוי, אבל היא לא בטוחה איך לעשות את זה בלי לפגוע בקבצים. חשובים. 
עומר טייכר | מדריך וטכנאי מחשבים: (44:37) : כן כן 
עומר טייכר | מדריך וטכנאי מחשבים: (44:39) : everything ימצא את זה אם את כתבת את הקובץ כן 
עומר טייכר | מדריך וטכנאי מחשבים: (44:47) : בוא נבחר את התוכנה everything מפה את ccleaner וspacy אני לא עדכין אני לא עדכין כי זה לוקח קצת יותר זמן וחבל הזמן שלנו התוכנה הראשונה שהחברה שהצרה את התוכנות spacy וccleaner היא אותה תוכנה תוכנות חינמיות קלות ופשוטות שמאפשרות לכם לנהל את המחשב שלכם בצורה יעילה. התוכנה הראשונה שאני פותח היא תוכנת ספסי. מה זה בעצם ספסי? זה קיצור 
עומר טייכר | מדריך וטכנאי מחשבים: (45:21) : של המילה ספסיפיקיישן של המאפיינים של המחשב, של המפרט של המחשב. אני בעצם יכול לדעת כל מה שיש לי במחשב, מה איך את ההפעלה, את המאבט שלי, כמה זיכרון יש לי, את לוח האם שלי. את הקרטיס הגרפי שלי, אפילו את הדגם של המסך שלי, את הדיסקים הקשיחים שלי, כמה יש לי ומהזה סוג הם, 
עומר טייכר | מדריך וטכנאי מחשבים: (45:45) : אם יש לי קונן דיסקים או לא, 
עומר טייכר | מדריך וטכנאי מחשבים: (45:48) : אפילו את הדגם 
עומר טייכר | מדריך וטכנאי מחשבים: (45:50) : של האודיו שלי, הכל אני יודע, של הקרטיס כל הכל אני יכול לדעת. 
עומר טייכר | מדריך וטכנאי מחשבים: (45:56) : הדבר הראשון שביניהם מתקשר ואומר לי, המחשב שלי עובד לאט, אני הולך לבדוק את הסוגים. סטורג' שלו. סטורג' זה בעצם הדיסקים הקשיחים. זה בעצם היחסון של המחשב. יש לנו שלושה אפשרויות. האפשרות הראשונה נקראת HDD. 
עומר טייכר | מדריך וטכנאי מחשבים: (46:13) : HDD זה בעצם הדיסק הקשיח מהסוג הישן. תכף אני אסביר לכם איך הוא עובד. זה גם איך שעובדים דיסקים חיצוניים. 
עומר טייכר | מדריך וטכנאי מחשבים: (46:22) : הדיסקים שאתם מחברים בUSB למחשב. יש לנו עוד אפשרות שנקראת SSD. זה דיסקים מהיריים יותר. אבל הם לא הכי טכנולוגיים וחדשנים הם הרבה יותר מהירים פי 50 אני חושב מי פי 50 אני חושב פי 5 מהHDD אבל הם לא הכי טכנולוגיים הכי טכנולוגיים זה נקרים NVMe זה SSD מסוג NVMe שאותם קונים במחשבים חדשים וכשיש לכם אותם על המחשב אתם תראו שכתוב unknown אם יהיה לי רק SSD זה יהיה רק יהיה כתוב רק SSD ואם זה יש לי NVMe יהיה כתוב unknown אז אני רוצה לך בעצם בריף קצר איך עובד דיסק קשיח מסוג HDD ולמה כשהוא נמצא על המחשב שלכם 
עומר טייכר | מדריך וטכנאי מחשבים: (47:09) : אי אפשר לנקות ולהפוך אותו למהיר יותר. אז בעצם HDD ודיסק קשיח יצוני עובד כמו פטיפון יש לו מחת ודיסק המחת קורית וכותבת כל הזמן 
עומר טייכר | מדריך וטכנאי מחשבים: (47:25) : מהדיסק עם הזמן הדיסק הזה הולך ונשחק. ואין מה לעשות נגד זה, כשהוא נשחק הוא הופך להיות איטי יותר ויותר, עד שבסוף אי אפשר לקרוא אותו והמחשב לא מצליח לזהות אותו, אז אנחנו לא רוצים להגיע למצב שזה מה שקורה. 
עומר טייכר | מדריך וטכנאי מחשבים: (47:45) : בדיוק כמו פטיפון, ברר שהדיסק נשחק, אין מה לעשות איתו יותר, צריך להחליף אותו ל-SSD. הדבר השני שאני בודק, 
עומר טייכר | מדריך וטכנאי מחשבים: (48:00) : כשמישהו אומר שהמחשב שלו איתי זה הטמפרטורות 
עומר טייכר | מדריך וטכנאי מחשבים: (48:05) : אתם יכולים לראות שפה יש לי את הטמפרטורות במחשב אבל הטמפרטורה בוא נראה סמארטפון מציג קבצים כפולים וקבצים גבול גדולים זה להוריד את התוכניות האלה במחשב הנייך אני אענה על הכל בסוף יהיה לי יותר קל לענות על הכל בסוף טוב שאתם רושמים שאלות בצ'אץ אבל אני אענה על הכל בסוף אני אהיה פשוט יותר מרוכז בשאלות שלכם 
עומר טייכר | מדריך וטכנאי מחשבים: (48:27) : יש לי בעצם בתוכנה הזאת טמפרטורות של המאבד שלי של לוח האם שלי ושל הכרטיס הגרפי שלי אותי מעניין רק הטמפרטורות של המאבדו כי זה בעצם מה שמאפשר למחשב שלי לעבוד מהר יותר אז בעצם תסתכלו איך זה נראה עשיתי לכם עם הבינה המלאכותית פה תמונה יפה רגע איך זה נראה סתיר את זה תסתכלו ככה נראה המחשב שלכם זה המאבד בחלק התחתון, מעליו יש את גוף הקירור ומעליו יש את המאברר. תסתכלו מה קורה. 
