Sofia Kogan: (0:54) : ‫סחר פול, נתניהו אופטימי. ‫סליחה קוד. ‫נתניהו, פתיבי. ‬‬‬
Sofia Kogan: (1:06) : ‫סופיה, מה ‬
עומר טייכר | מדריך וטכנאי מחשבים: (1:06) : קורה? ‫תודה רבה. ‫סופיה, מה קורה? ‬‬
עומר טייכר | מדריך וטכנאי מחשבים: (25:21) : אז ערב טוב חברים ותודה שהצטרפתם לסדנה לישון בשקט עם גיבוי אוטומטי בענן אני מעריך את היוזמה והמחויבות שלכם להבטיח שהמידע שלכם יהיה מוגן ומאובטח בכל מצב ולא רק לכבוד שלי זה לא יקרה לפני שנתחיל אני אשמח שתכינו דף ועט להערות ושאלות שיעזרו לכם להיות מעורבים בצורה יעילה יותר במהלך הסדנה בסוף יהיה לנו גם זמן לשאלות ותשובות קצת על העיר אני עומר בן 40 מראשון לציון במקור מהאשדוד התחלתי לתקן מחשבים מגיל 16 ויש לי ניסיון שכבר יותר מ-20 שנה. בצבא שירתתי בכללת המחשבים של חיל האוויר ואני מתמחה בהבטחת מידע. לפני כ-10 שנים הקמתי את קבוצת הפייסבוק תשעד תשכלה מחשבים, שאחת מקהילות התמיכה הטכנולוגיות הגדולות בישראל. היום המפגש שלנו ייחסה את הנושאים הבאים, מהו מחשוב ענן, יתרונות היחסון בענן, וכיצד לבצע גיבוי נכון ואפקטיבי. 
עומר טייכר | מדריך וטכנאי מחשבים: (26:31) : תזכרו, כל הסדנה תהיה זמינה מאוחר יותר לצפייה חוזרת ביוטיוב. אבל לפני שנתחיל אני אספר לכם סיפור קטן ואישי. לפני כמה חודשים הייתה אצלי בסדנה בחורה צעירה נגיד נקרא לה מיכלו, שהייתה זקוקה למציאת פתרון לגיבוי הקבצים שלה. אחרי שאתה בסדנה ולמדה על גיבוי בענן, היא ביקשה ממני לעזור לה להגדיר את הגיבוי. כמה שבועות לאחר מכן, המחשב שלה קרס לחלוטין, והקבצים החשובים שלה היו עלולים ללכת לאיבוד. למרבה המזל, בזכות הגיבוי שהגדלנו ביחד היא הצליחה לשחזר את כל הקבצים ולהמשיך בעבודה ללא שום נזק. הסיפור של מיכל מדגיש את החשיבות של גיבוי בענן ואיך זה יכול להציל אותנו במצבים לא צפויים עכשיו בואו נתחילו אני אשתף את המסך 
עומר טייכר | מדריך וטכנאי מחשבים: (27:32) : יפה 
עומר טייכר | מדריך וטכנאי מחשבים: (27:34) : אתם מוזמנים לכתוב לי בצ'אט שאתם רואים את השיתוף, והכל ואתם שומעים אותי כמו שצריך, אני רוצה שתהיו, אני רוצה שבצ'ט כל שאלה שעולה לכם, תשאלו, שאלה להסבר אם זה מהר מדי או איטי מדי, אם משהו לא ברור לכם. אני פתוח לשאלות ואני אענה לכם על מה שאתם צריכים. חשוב לי שתהיו פעילים, כי המטרה בסופו של דבר שתבינו ותיישמו ולא רק, תיהנו 
עומר טייכר | מדריך וטכנאי מחשבים: (28:05) : ותשנו בזום. יפה. 
עומר טייכר | מדריך וטכנאי מחשבים: (28:11) : אז אוכלים הבאים להרצאה לישון בשקט עם גיבוי אוטומטי בעה ננו. קודם כל אני אתן לכם שאלה למחשבה, שאלה פנימית שאתם יכולים לשאול את עצמכם מתי גיביתם בפעם האחרונה את הקבצים שלכם או שבכלל לא גיביתם או שאתם יכולים לשאול את עצמכם או לכתוב לי בצ'אט מה שאתם רוצים ואם תרצו לכתוב לי אני גם אתייחס. 
עומר טייכר | מדריך וטכנאי מחשבים: (28:35) : נתחיל, מהו מחשוב הנאן? מחשוב הנאן הוא בעצם הדרך להכסן ולנהל את הנתונים דרך האינטרנט, במקום 
עומר טייכר | מדריך וטכנאי מחשבים: (29:08) : בקונן הקשיח של המחשב הפרטי שלי, או בקונן חיצוני שהוא לידי. 
עומר טייכר | מדריך וטכנאי מחשבים: (29:17) : יש לי קונן, יש לי גיבוי בענן, אבל לא בשוטף, שזה לא טוב, כי אם זה לא בשוטף, אז זה לא בדיוק גיבוי בענן. 
עומר טייכר | מדריך וטכנאי מחשבים: (29:26) : תכף אנחנו נדבר על היתרונות של גיבוי חיצוני, מה היתרונות ומה החסרונות אז מהם היתרונות של גיבוי בענן 
עומר טייכר | מדריך וטכנאי מחשבים: (29:35) : הדבר הראשון זה המינות דיסק השיח אנחנו עכשיו נלך על השלילה למה גיבוי בענן הוא טוב 
עומר טייכר | מדריך וטכנאי מחשבים: (29:45) : אני אתן לכם המחשה איך עובד דיסק קשיח 
עומר טייכר | מדריך וטכנאי מחשבים: (29:50) : אני בינתיים נותן לפאטיפון הזה להסתובב דיסק קשיח ופאטיפון פועלים באותה צורה יש תקליט שמסתובב ומחת שקורא וכותב את המידע עליו כמו פאטיפון עובד גם הדיסק הקשיח הדיסק הקשיח למשל החיצוני שאתם עובדים איתו או בתוך המחשב שלכם מה שקורה שאם הזמן עכשיו לעומת P Cathyphone שרק קורא את המידע והוא עובד פעם ב האר דיסק שלכם עובד כל הזמן המערכת כל הזמן קוראת וכותבת על הדיסק מה שקורה שאם הזמן הדיסק הזה נשחק ונהיה איתי יותר ויותר, ולכן ביום מסוים הוא פשוט ישבוק חיים יפסיק לעבוד גם החיצוני וגם הפנימי ואז כל המידע שלכם יכול להיות בסיכון יכול להיות שלא תצטרכו לקרוא את המידע הזה מהמחשב אבל תיקחו לחברה חיצונית שתשחזר לכם זה יכול לעלות אלפי שקלים אתם לא רוצים להגיע למצב הזה 
עומר טייכר | מדריך וטכנאי מחשבים: (30:54) : הדבר השני של גיבוי בענן למה הוא טוב הוא תמיד מעודכן 
עומר טייכר | מדריך וטכנאי מחשבים: (31:01) : גיבוי בענן מתבצע בדרך האינטרנט כמו שאמרתי מקודם ושומר אוטומטית את הקבצים שלכם על שרתים 
עומר טייכר | מדריך וטכנאי מחשבים: (31:09) : מרוחקים כל פעם שאתם יוצרים או משנים קובץ הוא נשמר ומגווה באופן אוטומטי באופן אוטומטי. קשוב שתבינו מה זה אומר. שכל שלעומת 
עומר טייכר | מדריך וטכנאי מחשבים: (31:22) : קונן חיצוני, 
עומר טייכר | מדריך וטכנאי מחשבים: (31:24) : בוא נגיד שגיביתם את המידע שלכם לפני שלושה ימים. הרבה אנשים אומרים לי אני מגבה כל כמה ימים, גיביתם לפני שלושה ימים את המידע שלכם ובשלושה ימים האלה כתבתם איזה הצעת מחיר חדשה או משהו הוספתם לעסק שלכם, כתבתם משהו על איזה לקוח, עשיתם איזה שינוי בקבצים וקרה משהו למוחשב שלכם. עכשיו אני מדבר, שגיביתם לפני שלושה ימים, לא מדבר לפני שבוע, שנה, חודש. 
עומר טייכר | מדריך וטכנאי מחשבים: (31:57) : לפעמים המידע הזה שאנחנו עושים היום, לוקח לנו כל כך הרבה זמן שאם קורה לו משהו זה כמו מידע של שנה 
עומר טייכר | מדריך וטכנאי מחשבים: (32:07) : לכן גיבוי בענן הוא מגובה באפון אוטומטי ומיידי לכן אף פעם לא יצא מצב שתאבדו את המידע שלכם 
עומר טייכר | מדריך וטכנאי מחשבים: (32:16) : בלעד שהגיבוי מתבצע בזמן אמת הקבצים שלכם תמיד מודכנים עם השינויים האחרונים שעשיתם 
עומר טייכר | מדריך וטכנאי מחשבים: (32:24) : יתרון נוסף שניתן לעבוד מכל מכשיר ומכל מקום אני אראה לכם את זה בהמשך ניתן לגשת לקבצים מהמחשב, מהטאבלט ומהטלפון היד בכל מקום בו אתם נמצאים. אני אראה לכם איך עושים את זה ותראו כמה זה כיף. אז מה היית רואים? אני היום אדבר על יחסון בענן של גוגל ולמה? כי אני מוצא שיחסון הענן של גוגל הוא הכי איכותי מכל השאר ולכן אני עובד איתו אני עובד רק עם הדברים הכי איכותיים הדבר הראשון הוא נוחות 
עומר טייכר | מדריך וטכנאי מחשבים: (33:00) : אני אראה לכם בהמשך את הקונן הווירטואלי הוא יוצר מין קונן וירטואלי אתם לא צריכים להבין מה זה אומר עכשיו שמאפשר גישה מהירה ונוחה לכבצים שלנו שנמצאים בענן אני אראה לכם את זה בסדנה ניתן לעבוד על הכבצים מהמחשב טאבלט, טלפון, היד בכל מקום בו אתם נמצאים בקלות. 
עומר טייכר | מדריך וטכנאי מחשבים: (33:20) : זה בטוח 
עומר טייכר | מדריך וטכנאי מחשבים: (33:22) : עימוד דו שלבי כברת מחדל ומה זאת אומרת? קודם כל מה זה עימוד דו שלבי? אני מניח שרובכם יודעים ומי שלא זה מין שכבת הגנה נוספת לדוגמה נכון אתם מתחברים לבנק או בקופת חולים או בכל מיני אתרים, ואז אחרי שאתם מכניסים את הסיסמה ואת השם השתמש, קופץ לכם הודעה בטלפון, מספר בטלפון שאתם צריכים להכניס אותו. המספר הזה זה בעצם שכבת הגנה הנוספת. מי שאין לו את הטלפון שלכם לא יכול להיכנס. עכשיו למשל בפייסבוק ובאינסטגרם ובכל מיני אתרים, מה שקורה שצריך להגדיר את זה. זה לא כמו הבנק וקופת החולים שזה אוטומטי. 
עומר טייכר | מדריך וטכנאי מחשבים: (34:04) : באתרים מסוימים שהם מאוד חשובים לנו כמו רשתות חברתיות, שהרבה מהעסק שלנו נמצא שם, אתם צריכים להגדיר אבל לא בגוגל, בגוגל זה מוגדר אוטומטי שאתם יוצרים חשבון, זאת אומרת שאי אפשר לפרוץ לחשבון שלכם. אני לא נתקלתי עד היום במישהו שפרצו לחשבון שלו בגוגל. לא נתקלתי. 
עומר טייכר | מדריך וטכנאי מחשבים: (34:24) : וגם במקרה 
עומר טייכר | מדריך וטכנאי מחשבים: (34:26) : של מצב שצריכים לשחזר נתונים, 
עומר טייכר | מדריך וטכנאי מחשבים: (34:31) : או את 
עומר טייכר | מדריך וטכנאי מחשבים: (34:33) : השם השתמש והסמך שלכם, זה הרבה יותר קל מכל מקום אחר. 
עומר טייכר | מדריך וטכנאי מחשבים: (34:38) : יתרון נוסף של ההכנון בענן של גוגל זה השלבות עם שירותים נוספים. 
עומר טייכר | מדריך וטכנאי מחשבים: (34:44) : תכף אנחנו נעבור לדגמה חיה, אל תירדמו לי. יש לנו את הgoogle docs, sheets וslides, כתחליפים, אני לא יודע אם אתם מכירים את השירותים האלה, אבל הם תחליפים לword, excel וpowerpoint, וממושבים על הענן, הם מסתנכנים עם הקונן החיצוני, עם 
עומר טייכר | מדריך וטכנאי מחשבים: (35:03) : הגיבוי בענן של גוגל אפשר לנהל את הקבצים קל ומאר בשיתוף פעולה עם סבתים אחרים, לא ניכנס לזה אז האם זה בחינם? אווו, שאלה שישראלים מאוד אוהבים השאלה אם זה בחינם אז כן, גוגל מציע יחסון ענן בחינם עד 15 גיגה בייט בתוכנית החינמית שלה. היחסון קונן את הגוגל דרייב, שאנחנו תכף נראה שזה ענן הקבצים. יש שלושה שירותים לגוגל, גוגל דרייב שזה ענן הקבצים, ג'ימיל אתם כולכם מכירים בטח, שירות הדור, ותמונות גוגל שמגבלת תמונות מהטלפון. 
עומר טייכר | מדריך וטכנאי מחשבים: (35:42) : לא להירדם לי אם אני איטי מדי או מהיר מדי, או שאתם לא מבינים שרשמו בצ'אט. חשוב שתבינו, לא סתם שאני אדפדף 
עומר טייכר | מדריך וטכנאי מחשבים: (35:52) : את הסליידים שלי אוקיי? יש לנו כמה תוכניות, יש לנו תוכנית החינמית של 15 ג'יגה, שזו התוכנית שאנחנו מקבלים באופן אוטומטי ואם אנחנו רוצים לגבות את המחשב שלנו ואין לנו מספיק מקום אז יש לנו תוכנית של 100 ג'יגה, 200 ושני טרה שזה 2000 ג'יגה שזו תוכנית שזה ביחס למחיר 
עומר טייכר | מדריך וטכנאי מחשבים: (36:16) : ביחס למחיר שאנחנו משלמים אנחנו מקבלים הרבה מאוד מקום המון המון המון מקום יחסון בעלן של גוגל הוא מאוד חסכוני ביחס לכמה שאתם משלמים, עבור מחיר נמוך יחסית אתם מקבלים מקום איחסון גדול. אז מהם השירותים ביחסון הענן של גוגל ואיך מגבים נכון? אז בשביל זה עכשיו אני אראה לכם את השיתוף מסך. טוב אני בוא נעיר אתכם, האם אתם רואים את הלחצן הגדול שלי, את החבר הגדול שלי? שהוא בצהוב, אתם רואים את זה? תרשמו רק כן ולא, נראה שאתם לא זה. 
עומר טייכר | מדריך וטכנאי מחשבים: (36:51) : כן או לא? אם לא, לא ממשיך 
עומר טייכר | מדריך וטכנאי מחשבים: (36:56) : אתם רואים את החץ של החברה הגדול יפה מאוד אוקיי 
עומר טייכר | מדריך וטכנאי מחשבים: (37:02) : יפה אני רואה שאתם פחדים 
עומר טייכר | מדריך וטכנאי מחשבים: (37:06) : אתם פחדים אוקיי 
עומר טייכר | מדריך וטכנאי מחשבים: (37:10) : אז קודם כל אני אראה לכם איך מנקים את הכונן של גוגלו 
עומר טייכר | מדריך וטכנאי מחשבים: (37:15) : כשאנחנו פותחים את הדפן שלנו יש לנו בצד שמאל למעלה מלחצה שנקרא תשע נקודות לקוחה פעם קרא לזה ופל בלגי מאוד אהבתי את השם נקרא לזה ופל בלגי כשאנחנו לוחצים על הופל בלגי ואנחנו יורדים למטה למטה למטה למטה למטה לחלק הכי תחתון יש לנו שירות שנקרא גוגל וואן אני מניח שרובכם לא מכירים אותו ומי ששמע עליו לא משתמש בו אוקיי אם אנחנו נלחץ על גוגל וואן אנחנו נוכל לראות בעצם את כל היחסון שלי בענן בדיוק כמה אני מנצל ומה אני מגבה ומה אני יכול לנקות זה שירות פשוט מעולה ולהגדיל אותו אם אני רוצה יותר מקום אוקיי אז הדבר הראשון שאני אתחיל בו זה שטח חיכסון פה אני יכול לראות כמה אני מנצל מסך הכל המקום שלי פעם שאני אכנס לזה פנימה שוב אני מראה לכם גוגל וואן אני נמצא בקרטיסיית דף הבית בצד ימין ויש לי פה ריבוע שטח איכסור נכנסתי פנימה פה אני, אל תבעלו אני לא באמת מנצל 98% זה חשבון ההדרכות שלי ובשביל ההדגמה הוא מפוצץ. 
עומר טייכר | מדריך וטכנאי מחשבים: (38:35) : פה יש לי בעצם שלושה שירותים בעצם הענן של גוגל מורכב משלושה שירותים. השירות הראשון נקרא גוגל דרייב, גוגל דרייב שעליו אנחנו נדבר היום, הוא בעצם ענן הקבצים שלנו, מה זאת אומרת קבצים? אנחנו מעלים אליו קבצים באופן מייזום, כמו שאני אראה לכם תכף, או גיבוי אוטומטי מהמחשב. אם אנחנו מעלים קבצים באופן מייזום, 
עומר טייכר | מדריך וטכנאי מחשבים: (39:01) : אנחנו מגבים את הקבצים שלנו ואם אנחנו מסנכנים המחשב מה שנמחק מהמחשב נמחק גם מהענן תכף אני אראה לכם את זה יותר ברור ויותר לעומק. 
עומר טייכר | מדריך וטכנאי מחשבים: (39:15) : השירות השני זה Gmail זה אתם כולכם מכירים בטח לא צריכים להיכנס לזה וGoogle Photos זה בעצם ענן התמונות שאתם למשל מגבים מהטלפון שלכם את התמונות, הוא יעלה לשירות שלך Google Photos. עכשיו, שלושת השירותים האלה קשורים אחד בשני, מה זאת אומרת? אם יש לכם סך הכל 15 ג'יגה של מקום ואתם מנצלים את כל המקום בענן הקובצים של גוגל מאותו רגע לא תוכלו לקבל 
עומר טייכר | מדריך וטכנאי מחשבים: (39:49) : אימיילים בג'י מייל. מה זאת אומרת הוא יטריע לכם שנגמר לכם המקום בג'י מייל ואתם צריכים להרחיב את החבילה או לנקות את החשבון. בפעמים לקוחות מתקשרים אליי ואומרים לי אומר ה gmail שלי קופץ לי הודעה ומטריע לי שנגמר לי המקום אבל אני לא מבין למה אני לא שולח הרבה אימיילים 
עומר טייכר | מדריך וטכנאי מחשבים: (40:12) : אין לי מושג למה זה קורה זה ממש מוזר אז אם נתבונן אנחנו נראה שהתמונות שלו, הגוגל פוטו שהוא מלא מהטלפון, 
עומר טייכר | מדריך וטכנאי מחשבים: (40:22) : פשוט תופס את כל המקום, או הקבצים שלו בגוגל דיינט תופסים את כל המקום הגיבוש האוטומטי שלו במחשב, ובגלל זה זה לא עובד פשוט מאוד. 
עומר טייכר | מדריך וטכנאי מחשבים: (40:34) : יש אנשים שלמשל, זה יכול לקרות בכל אחד מהם, אם למשל אחד מהשירותים מתפוצץ ותופס את כל המקום, 
עומר טייכר | מדריך וטכנאי מחשבים: (40:43) : הגוגל שלנו מתחיל להטריע 
עומר טייכר | מדריך וטכנאי מחשבים: (40:46) : שהשאר השני לא עובד. 
עומר טייכר | מדריך וטכנאי מחשבים: (40:49) : אז איך בעצם אנחנו ננקה 
עומר טייכר | מדריך וטכנאי מחשבים: (40:53) : את הענן שלנו? יש לנו שתי אפשרויות. אם חשבון הגוגל שלנו, בואו נראה מה כתבו, האם מה שנמחק בענן נמחק במחשב? תכף אני אראה. תכף אני אראה. אתם לא תישארו עם שאלות. מה זה שאני לא רואה את האדסה עכשיו אני רואה את זה קטן קטן תכף אדסה תכף אני אראה את זה לפני שאני נכנס בזה מה נמחק מה לא נמחק 
עומר טייכר | מדריך וטכנאי מחשבים: (41:16) : יש לכם שתי אפשרויות לעבוד במצב שחשבון הגוגל שלכם מתפוצץ. האפשרות הראשונה זה להגדיל את החבילה. נגיד אם יש לכם 15 ג'יגה ל 100 אם נגמר לכם ה100 ל 200 אם נגמר לכם ה100 ל 200 לא ממש תגיעו למצב כזה. נגמר לכם המאה למתיים, נגמר לכם המתן שנתר, לא מאמיש תגיעו למצב כזה, מעטים עושים את זה. או 
עומר טייכר | מדריך וטכנאי מחשבים: (41:38) : לנקות את החשבון שלכם, אוקיי? אפשר לנקות קבצים מהחשבון, אני עכשיו אראה לכם איך עושים את זה בצורה פשוטה ויעילה וככה אתם תנקו מקום יש גבול לכמה שאפשר לנקות אבל אפשר לנקות מקום אז בשביל לנקות אנחנו נלך לדף הבית לקרטיסייה דף הבית בצד ימין 
עומר טייכר | מדריך וטכנאי מחשבים: (42:02) : ופה יש לנו פינוי מקום בהכסון כמו שאין לנו שטח הכסון בצד שמאל 
עומר טייכר | מדריך וטכנאי מחשבים: (42:09) : שאלתם מה זה גיבוי זה גיבוי של הטלפון הסלולרי שלכם זה לא של המחשב, זה של הטלפון אני באופן אישי מגבא את הטלפון שלי בחשבון הפרטי שלי אז בגלל זה לא רואים שזה מגובה אבל הטלפון שלכם אם יש לכם אנדרואיד הוא מגובה בחשבון פה בריבוע האמצעי אז אנחנו ניכנס לפינוי בקום ביחסון 
עומר טייכר | מדריך וטכנאי מחשבים: (42:35) : בעצם אני לא ארחיב יותר מדי על המקום הזה כי אני אתן לכם לשחק עם זה בעצמכם, עם הדבר הזה, כי בעצם פה גוגל נותן לנו כל מיני אפשרויות לנקות 
עומר טייכר | מדריך וטכנאי מחשבים: (42:49) : את ההכסון שלנו. אנחנו יכולים לראות למשל איזה אימיילים 
עומר טייכר | מדריך וטכנאי מחשבים: (42:57) : נמצאים בהשפעה. מה זאת אומרת? 
עומר טייכר | מדריך וטכנאי מחשבים: (43:00) : כשאתם עובדים בג'י-מייל, אתם רוב פעם מוחקים אימיילים, נכון או לא נכון? תרשמו לי בchat נכון או לא נכון? אתם מוחקים לפעמים או לא מוחקים בכלל e-mail? 
עומר טייכר | מדריך וטכנאי מחשבים: (43:15) : אתם לא מגיבים, אני לא ממשיך, אני מאיים. 
עומר טייכר | מדריך וטכנאי מחשבים: (43:19) : אתם מוחקים אימיילים לפעמים מהג'ימייל? אפשר גם בנייד וגם במחשב, מוחקים, מוחקים, איזה יפה. טוב שרשמתי, כי עכשיו אני יכול להסביר לכם. כשאתם מוחקים אימיילים 
עומר טייכר | מדריך וטכנאי מחשבים: (43:33) : מהג'ימייל שלכם, זה עובר לקרטיסיית השפע. מה זאת אומרת ולמה זה חשוב? 
עומר טייכר | מדריך וטכנאי מחשבים: (43:42) : אתם שמים לב שבמחשב שלכם יש לכם דבר שנקרא סל מחזור, נכון? אני אראה לכם את זה. סל מחזור, אני מאמין שרובכם מכירים את הדבר הקטן הזה. 
עומר טייכר | מדריך וטכנאי מחשבים: (44:01) : הם לא מקדימים לי את המקום הפנוי ולמה? הרי למה זה בעצם עובר לסל המחזור? מה זה סל המחזור בעצם? מי ששאל אותך את עצמו מה זה סל המחזור? סל המחזור זה מקום, אוקיי זה משהו אחר אתה מוכרח את זה גם לסל המחזור זה נחמד אבל גם בגוגל, גם בג'ימל צריכה להמחוק מההשפעה ומה המטרה של סל המחזור וההשפעה בעצם? זה האפשרות שלכם לשחזר 
עומר טייכר | מדריך וטכנאי מחשבים: (44:32) : את הקובצים שפתאום גיליתם שמחקתם בטעות. אם מחקתם איזה מייל, כי אתם לא רוצים לראות אותו, פתאום הזכרתם, אוי, איזה טעות, אנחנו עכשיו רוצים לראות את האימייל הזה רוצים את הקובץ הזה שמחקתי אנחנו יכולים לשחזר אותו מהשפע בג'ימל או מסל המחזור 
עומר טייכר | מדריך וטכנאי מחשבים: (44:51) : אבל בשביל שנוכל לשחזר זה ממשיך לתפוס לי מקום זאת אומרת שעד שאנחנו לא מוחקים את סל המחזור או מוחקים את ההשפע 
עומר טייכר | מדריך וטכנאי מחשבים: (45:02) : המקום שלנו לא מתפנה בחשבון או במחשב חשוב שתבינו את זה לכן אתם יכולים למחוק בלי סוף אבל לא יתפנה לכם מקום עד שלא תנקו את ההשפעה אז פה למשל בקטגוריה הראשונה אפשר לנקות את האימיילים בהשפעה בקליק אחד פשוט יש לנו כל מיני אימיילים שמסומנים כספאם שעוברים לספאם הם עוברים 
עומר טייכר | מדריך וטכנאי מחשבים: (45:26) : לספאם שלנו הם לא תופסים רבה מקום אז לא הייתי אומר לכם שזה יפנה לכם יותר מדי מקום אבל זה אפשרות. דבר נוסף שיש לנו זה קבצים גדולים. הג'ימל מראה לנו איזה קבצים גדולים יש לנו ומאפשר לנו 
עומר טייכר | מדריך וטכנאי מחשבים: (45:44) : למחוק אותם. אני אראה לכם איך עושים את זה. 
עומר טייכר | מדריך וטכנאי מחשבים: (45:47) : נגיד 
עומר טייכר | מדריך וטכנאי מחשבים: (45:49) : אני לפני שהייתי בן 13, 
עומר טייכר | מדריך וטכנאי מחשבים: (45:53) : אני שהייתי בן 13 טסתי לטיול בר מצווה לארצות הברית ומאז זה שמרתי את זה לפני כמה חודשים או שנים על הענן שלי אוקיי גיביתי את זה על הענן שלי היה לי מקום ופתאום הוא מטריע לי שאין לי מקום יותר ועדיין 
עומר טייכר | מדריך וטכנאי מחשבים: (46:16) : הסרטונים האלה נמצאים על הענן שלי ותופסים לי המון המון מקום. מה שאני יכול לעשות, אם למשל זה כל מיני טיולים או סרטונים שאני לא צריך, יכול להיות שסבירות נמוכה ונגיד, לא צריך אני יכול למחוק אותם, לסמל אותם ולמחוק אותם. ואם אני צריך, אני יכול לדעת שלמשל הסרטונים האלה, אין לי מקום, אני לא רוצה להגדיל את הענן שלי, 
עומר טייכר | מדריך וטכנאי מחשבים: (46:45) : לדיסק חיצוני, אוקיי? זה לא בדיוק לגבות אותם, שזה לא גיבוי שוטף, אבל אני רוצה להעביר אותם שלא יתפסו למקום בגוגל. אפשרות, אני יודע מה נמצא לי, תופס לי מקום ואני מעביר אותו לקונן חיצוני. 
עומר טייכר | מדריך וטכנאי מחשבים: (47:00) : לפני שאני ממשיך, חשוב לי מאוד להזהיר אתכם, מה שאתם מוחקים מהשירות שנקרא Google 1 נמחק לצמיתות 
