עומר טייכר | מדריך וטכנאי מחשבים: (20:04) : אני כבר שם אתכם במיוט אני מתחיל להודקה אני משתיק אתכם 
עומר טייכר | מדריך וטכנאי מחשבים: (27:12) : ולאחר מכן, כשאני רוצה לשלוח מייל, אני נכנס לטיעוטה שלי, 
עומר טייכר | מדריך וטכנאי מחשבים: (27:18) : ביטול שליחה, אני מראה שוב 
עומר טייכר | מדריך וטכנאי מחשבים: (27:23) : את אותו מייל, את אותה שגיאה, במקום אלון, צירפתי קובץ אילן, אני שולח וכרגע יש לי... 30 שניות להתחרט, שזה נותן לי המון זמן במידה וטעיתי, טעיתי בהגעה שלי, במידה ואני עושה ביטול, אופ, זה חוזר לי לטיעותה. שוב, שליחה, 
עומר טייכר | מדריך וטכנאי מחשבים: (27:44) : התחרטתי, אני לוחץ על ביטול, זה הולך לשליחה. הרבה פעמים, אני מאמין שהרבה מכם שואלים, מה הסיכוי שאני 
עומר טייכר | מדריך וטכנאי מחשבים: (27:52) : אתחרט בדיוק אחרי ששלחתי? אז כן, הרבה פעמים אנחנו שולחים, ובדיוק אז אנחנו מבינים שטעינו. חשוב לציין, 
עומר טייכר | מדריך וטכנאי מחשבים: (28:02) : הרבה פעמים שואלים אותי האם אני מבטל את האימייל אחרי שכבר הנמען קיבל 
עומר טייכר | מדריך וטכנאי מחשבים: (28:08) : את האימייל, אז לא. לעומת Outlook שיש שם כל מיני אפשרויות לבטל את האימייל אחרי שהנמען כבר קיבל את האימייל, ב-Gmail זה לא ככה, ב-Gmail אני מבטל לפני ששלחתי, אם ההודעה נשלחה כבר וכבר אני לא יכול לבטל אותה, אין לי מה לעשות. אני לא יכול למחוק אצל הנימאן את האימייל, זה לא כמו וואטסאפ שאני לוחץ מחיקה ואז אני מוחק לכולם, זה לא עובד ככה. 
עומר טייכר | מדריך וטכנאי מחשבים: (28:37) : אז נקטין את החלון, ניכנס חזרה ונעשה סיכום 
עומר טייכר | מדריך וטכנאי מחשבים: (28:43) : של מה אפשר לעשות עם הדבר הזה. 
עומר טייכר | מדריך וטכנאי מחשבים: (28:48) : אז בעצם שלחתם מייל עם חובץ לא נכון, 
עומר טייכר | מדריך וטכנאי מחשבים: (28:52) : עכשיו אפשר לעצור, לתקן ולשלוח מחדש בלי לחץ. שכחתם לצרף קובץ? לא צריך להתנצל, פשוט לוחצים בתל ועושים את זה כמו שצריך. שלחתם מייל בכעס ואז התחרטתם? זה הרגע לחזור אחורה, להירגע ולנסח אחרת. גיליתם טעות מביכה במייל שיצא ללקוח חשוב? עכשיו אתם יכולים לעצור את זה. לחצתם מהר מדי, בלי לחשוב עד הסוף? הכפתור הזה נותן לכם עוד כמה רגעים של חסדו. האם באוטלוק אפשר למחוק מנט גם למי שמשתמש בחרום ולא משתמש באוטלוק? 
עומר טייכר | מדריך וטכנאי מחשבים: (29:34) : לא, לא אי אפשר. האפשרות הזאת נמצאת באוטלוק, שלמה, רק כשאתה נמצא בתוך ארגון. אתה לא יכול לעשות את זה לאנשים שיש להם ג'ימייל. זו פונקציה מיוחדת בתוך ארגונים. 
עומר טייכר | מדריך וטכנאי מחשבים: (29:48) : הנושא הבא שאני רוצה לדבר, טיפ הבא שאני רוצה לדבר עליו, 
עומר טייכר | מדריך וטכנאי מחשבים: (29:54) : אני אראה תכף, תכף אתה תראה אלי, תכף אתה תראה בטיפה אחר איך משנים בהגדרות. הטיפה הבאה שאני רוצה לדבר עליו נקרא לא עכשיו, תודה. 
עומר טייכר | מדריך וטכנאי מחשבים: (30:05) : 11 בלילה, אני כותב מייל ללקוחה. נזכרתי בזה ברגע האחרון, והיה לי חשוב לכתוב, אבל אז קלטתי. מה זה ישדר אם היא תראה את זה עכשיו? לחץ? חוסר גבולות? אולי סתם... מייל שתלך לישון עליו לא מרוצה. אז ג'ימל הציל אותי. ראיתי חץ קטן ליד שלח, לחצתי ותזמנתי את השליחה. בחרתי מחר בשמונה בבוקר וככה קרה דבר נהדר. אני עובד מתי שבעלי והלקוחה שמקבלת מתי שנוח לה. 
עומר טייכר | מדריך וטכנאי מחשבים: (30:46) : תכף אתם תראו. קרה לכם ששלחתם מייל בזמן לא ממש מתאים? אולי? כתבתם מייל מאוחר, התבאסתם לשלוח אותו בלילה, היה לכם מה לכתוב אבל לא נעים לשלוח בשישי בצהריים, רציתם לסיים עם זה ואז חשבתם אולי עדיף לחכות עם השליחה? 
עומר טייכר | מדריך וטכנאי מחשבים: (31:08) : אז אני אראה לכם איך עושים את זה, זה דבר יפה מאוד ואני משתמש בו המון. אני הולך לרגע, אני הולך לחרום 
עומר טייכר | מדריך וטכנאי מחשבים: (31:23) : ובעצם 
עומר טייכר | מדריך וטכנאי מחשבים: (31:25) : יש לי 
עומר טייכר | מדריך וטכנאי מחשבים: (31:27) : פה תזמון שליחה, תסתכלו. אני כרגע נגיד במוצאי שבת ואני רוצה שהלקוחה שלי עדנה. כשם אמא שלי תקבל את הצעת מחיר שלי מחר בבוקר או בכל זמן אחר, לא חייב להיות מחר בבוקר. אני עכשיו לא רוצה לשלוח את זה, אני רוצה לתזמן את זה. במקום בינה מלאכותית וכל מיני תוכנות של תזמון, יש כפתור אחד קטן שמאפשר לנו לתזמן. איפה הכפתור הזה? בכפתור השליחה יש לנו חץ קטן בצד שמאלו, אנחנו לוחצים עליו ויש לי תזמון שליחה. אני מוכרץ על תזמון שליחה ובעצם אני יכול לבחור מתי המייל הזה ישלח ללקוחה באופן אוטומטי. יש לי פה את השעות 
עומר טייכר | מדריך וטכנאי מחשבים: (32:18) : שג'ימן נותן לי שהן הכי אופייניות לשלוח שזה מחר בבוקר, מחר בצהריים ויום שני בבוקר שזה יום למחורת 
עומר טייכר | מדריך וטכנאי מחשבים: (32:27) : ויש לנו בחר תאריך ושעה. 
עומר טייכר | מדריך וטכנאי מחשבים: (32:30) : אני יכול למשל לבחור את היום הספציפי. את השעה הספציפית ולתזמן שליחה. נגיד תזמנתי למחר בבוקר, 
עומר טייכר | מדריך וטכנאי מחשבים: (32:40) : 8 בבוקר, 
עומר טייכר | מדריך וטכנאי מחשבים: (32:42) : ואני רוצה לבטל את זה. 
עומר טייכר | מדריך וטכנאי מחשבים: (32:46) : מה שאני עושה, יש לי פה תווית שנקראת הודעות מתוזמנות. אני לוחץ על זה ואני רואה את כל ההודעות שמתוזמנות שתזמנתי לשלוח מאוחר יותר. אם אני רוצה 
עומר טייכר | מדריך וטכנאי מחשבים: (33:05) : לבטל את זה אני יכול לבטל את הדבר הזה לבטל את התזמון שליחה להתקן את התזמון ולבטל אותו הכי פשוט 
עומר טייכר | מדריך וטכנאי מחשבים: (33:16) : עכשיו אתם בטח שואלים את עצמכם אני לא רואה הודעות מתוזמנות אני לא רואה את זה הרבה מכם שיסתכלו במנה שלהם הראו שאין להם את התווית הזאת אז איפה היא נמצאת היא נמצאת מתחת לכל התוויות תחת תווית שנקראת עודו, תסתכלו, אני יכול, כשאני פותח עוד, יש לי פה ספם, קטגוריות, ניהול תוויות, באופן ברירת המחדל, ההודעות המתוזמנות יהיו 
עומר טייכר | מדריך וטכנאי מחשבים: (33:47) : למטה, בעודו, אתם רואים, זה לא נמצא עכשיו בתפריט הראשי שלי, מה שאני יכול לעשות, אני יכול לגרור את ההודעות המתוזמנות לתוך התפריט הראשי שלי, ואז לראות אותם, מיד שוב אני נגיד הולך לתיוטה, אני רוצה לתזמן, אני אראה לכם שוב, חלק מכם שצריכים לראות שוב, לוחץ כפתור, תזמון שליחה, מחר בבוקר 
עומר טייכר | מדריך וטכנאי מחשבים: (34:15) : ותזמנתי את השליחה. אני רוצה לבטל, הולך להודעות מתוזמנות, אני מתזמן גם את הפוסטים שלי לא פה, אבל אני מתזמן הרבה מאוד דברים, זה מאוד נוח לתזמן הודעות במקום לכתוב אותם בזמן אמת. 
עומר טייכר | מדריך וטכנאי מחשבים: (34:37) : יש הרגע בוא נראה אם יש עוד מה שכתבו. 
עומר טייכר | מדריך וטכנאי מחשבים: (34:42) : ברשת הזמנתי זה כבר יקרה לא אין עוד פקודה דורי אין עוד פקודה זה פשוט יקרה. 
עומר טייכר | מדריך וטכנאי מחשבים: (34:49) : אז בוא נראה מה אפשר לעשות עם זה. כתבתם מייל בלילה אבל אתם רוצים שיגיע 
עומר טייכר | מדריך וטכנאי מחשבים: (34:56) : איך מגיע לטיוטה תכף נראה. כתבתם מייל בלילה אבל רוצים שיגיע בבוקר בטיימינג מקצועי צ'ק. יש לכם רצף של מיילים ואתם רוצים שכל אחד ישלח בזמנו אפשרי. 
עומר טייכר | מדריך וטכנאי מחשבים: (35:10) : אתם טסים בחול לא זמינים אבל רוצים להיראות בעניינים אפשר. רוצים לסיים עם זה עכשיו. אני לא זה לא זה לא האוטלוק. אני לא יודע לגבי תזמון באוטלוק. אני לא בטוח אני אבדוק את זה. 
עומר טייכר | מדריך וטכנאי מחשבים: (35:28) : רוצים לסיים עם זה עכשיו אבל בלי להלחיץ לצד השני? אפשר. אתם קודמים בראש שקט בלילה אבל נותנים למייל לדבר רק מחר. 
עומר טייכר | מדריך וטכנאי מחשבים: (35:41) : הנושא השלישי, הטיפה השלישי שאני רוצה לדבר עליו נקרא שלום ולא להתראות. 
עומר טייכר | מדריך וטכנאי מחשבים: (35:51) : אני לא יודע מתי זה התחילו אבל פתאום כל בוקר תודה. חיכו לי אותם מיילים. מבצע תחילת שבוע. מבצע סוף שבוע. מבצע אמצע שבוע. מגיע לך גיפט קארד. שכחת לממש את הגיפט קארד. הגיפט קארט שלך נגמר בעוד שבע דקות ואני רק חיפשתי פעם בלנדר. בהתחלה סתם מחקתי, אחר כך התעלמתי, ובאיזשהו שלב פשוט התייאשתי. ואז יום אחד במקרה גיליתי שיש דרך לעצור את זה. מאז התאיבה שלי נקייה, ואני שוב שולט במה שנכנס אליי. אז מי מכם מקבל לפחות שלוש מיילים בשבוע על מבצעים מיוחדים? או הצעות שאי אפשר לסרב להן אתם מוזמנים לכתוב אם אתם בעלכם 
עומר טייכר | מדריך וטכנאי מחשבים: (36:47) : אז אני אראה לכם איך שמים לזה סוף אחת ולתמיד 
עומר טייכר | מדריך וטכנאי מחשבים: (36:57) : בתיבת הג'ימל שלי 
עומר טייכר | מדריך וטכנאי מחשבים: (36:59) : יש לי את הנכנס לדואר נכנס ואתם יכולים לראות שיש לי פה קידומי מחירות למשל קידומי מחירות, רשתות חברתיות, התקודים, ניכנס לקידומי מחירות. 
עומר טייכר | מדריך וטכנאי מחשבים: (37:11) : אתם יכולים לראות שיש לי פה למשל 
עומר טייכר | מדריך וטכנאי מחשבים: (37:16) : כמה חברות ששלוחות לי כל מיני מיילים, זום, סמסונג, אליסון וכו'. 
עומר טייכר | מדריך וטכנאי מחשבים: (37:23) : נניח שיש לי את סמסונג ואני רוצה שיפסיקו לשלוח לי מיילים, אני רוצה, די, נמאס לי מזה שהם מפסיצים לי את המייל, לא רוצה את זה, אין צורך. 
עומר טייכר | מדריך וטכנאי מחשבים: (37:35) : כשאני עומד על המייל, 
עומר טייכר | מדריך וטכנאי מחשבים: (37:38) : יש לי כמה אפשרויות. 
עומר טייכר | מדריך וטכנאי מחשבים: (37:40) : הדבר הראשון זה להיכנס לתוך המייל הזה, הלוואי רק שלוש נכון, להיכנס לתוך המייל הזה, לגלו למטה, וללחוץ על עשרה. כל אחד נראה, כל מייל נראה אחרת, כל דבר נראה אחרת, לא הכי פשוט בעולם, לא טריוויאלי, זה לא מה שאנחנו רוצים. אנחנו רוצים שיטה יותר טובה, להפסיק את ה... את המיילים האלה מה אנחנו עושים אנחנו עומדים על המייל הזה ויש לנו כפתור שנקרא ביטול הרשמה אני לוחץ על הכפתור הזה ואז הוא פשוט ייבטל לי את ההרשמה אוטומטית אבל חכו לזה 
עומר טייכר | מדריך וטכנאי מחשבים: (38:20) : אני לא רק עושה ביטול רישום אני גם נכנס פנימה לתוך המייל ולוחץ שלוש נקודות 
עומר טייכר | מדריך וטכנאי מחשבים: (38:29) : בתוך המייל 
עומר טייכר | מדריך וטכנאי מחשבים: (38:30) : אני ארץ שוב את התהליך ועושה חסימה של סמסונג אלקטרוניקס, שימו לב אני חוסם את זה ואני לא אקבל יותר מיילים מהשולח הזה, נעשה שוב עם אחד אחרו, אליסון, באליסון אתם יכולים לראות שהג'ימל לא יודע לעשות ביטול הרשמה, הוא לא יודע, לפעמים הוא לא יודע, אבל מה הוא כן יודע, אני כנס לתוך אליסון, אני ארחץ שלוש נקודות וחסימת אליסון, אני יותר לא אקבל מיילים מאליסון, 
עומר טייכר | מדריך וטכנאי מחשבים: (39:02) : פשוט, וקלו 
עומר טייכר | מדריך וטכנאי מחשבים: (39:06) : אני רוצה להראות לך לא רואים מה לא רואים? 
עומר טייכר | מדריך וטכנאי מחשבים: (39:13) : אה למה לא אמרתם לי לא יכול 
עומר טייכר | מדריך וטכנאי מחשבים: (39:17) : רגע אתם לא רואים או שאתם רואים? 
עומר טייכר | מדריך וטכנאי מחשבים: (39:24) : בוא נראה מה אתם רואים? לא יודע 
עומר טייכר | מדריך וטכנאי מחשבים: (39:31) : רואים רואים בסדר 
עומר טייכר | מדריך וטכנאי מחשבים: (39:36) : אוקיי בסדר לא רואים אותי אוקיי לא נורא אני לא כזה יפה. 
עומר טייכר | מדריך וטכנאי מחשבים: (39:42) : בסדר אוקיי אז מה השאלה מה השאלה שנייה מה זה המשיטה הזאת לבין פעולת העשרה. רגע רגע 
עומר טייכר | מדריך וטכנאי מחשבים: (39:54) : חלוקת מסך. 
עומר טייכר | מדריך וטכנאי מחשבים: (39:58) : מה זה בין שיטה הזאת לבין פעולת העשרה גם עשרה אתה לא מקבל יותר מיילים מה זאת אומרת עשרה תמי אני לא כל כך הבנתי מה זה עשרה 
עומר טייכר | מדריך וטכנאי מחשבים: (40:07) : למה את מתכוונת אני רוצה להראות לכם אחרי שתמי תכתוב אני רוצה להראות לכם עוד דבר יפה 
עומר טייכר | מדריך וטכנאי מחשבים: (40:14) : כשאנחנו למשל מקבלים מייל מאתר מסוים אליסון ואנחנו רוצים להסיר את כל המיילים מאותו שולח מה אתם עושים בדרך כלל? תחשבו. הרבה מכם, מה אתם עושים? אנחנו הולכים לחיפוש באימייל, רושמים אליסון, 
עומר טייכר | מדריך וטכנאי מחשבים: (40:35) : למשל, 
עומר טייכר | מדריך וטכנאי מחשבים: (40:39) : ולוחצים Enter, ואז רואים את כל הדברים שקיבלנו מאליסון. שיטה יפה היא לא בהכרח עובדת כמו שהיא צריכה, כי לפעמים זה מחפש בשמה, שולח, לפעמים זה מחפש בתוך המייל, זה לא בדיוק מה שאנחנו תמיד רוצים. יש שיטה יותר פשוטה, ואני אומר לכם היא תשנה לכם הרבה 
עומר טייכר | מדריך וטכנאי מחשבים: (41:00) : מהעבודה שלכם בג'ימל, ובזמן שאתם משקיעים. לוחץ על לשונית עשר בתוך המייל עצמו. מחיקה את מתכוונת? את מתכוונת למחיקה? 
עומר טייכר | מדריך וטכנאי מחשבים: (41:13) : עשרה זה שאני מוחק את המייל, שאני מוחק את המייל. 
עומר טייכר | מדריך וטכנאי מחשבים: (41:17) : יש חסימה, בוא נראה למה את מתכוונת, רגע בוא נראה למה את מתכוונת. עשרה, 
עומר טייכר | מדריך וטכנאי מחשבים: (41:25) : אני לא רואה איפה את רואה עשרה פה. אם את מתכוונת לזה למחיקה זה מוחק את המייל הספציפי. 
עומר טייכר | מדריך וטכנאי מחשבים: (41:32) : אני חוזר לנקודה. אני רוצה לחפש את כל המיילים, התפזרתי. אני רוצה לחפש את כל המיילים מאליסון. אני לוחץ כפתור ימני על אליסון, שימו לב, שימו לב טוב, כפתור ימני על אליסון, 
עומר טייכר | מדריך וטכנאי מחשבים: (41:48) : וחיפוש הודעות אימייל מאליסון. האם ידעתם שיש דבר כזה? ואז כשאני לוחץ אני רואה את כל המיילים מאליסון, בקליק אחד אני יכול לסמן את כל המיילים 
עומר טייכר | מדריך וטכנאי מחשבים: (42:01) : פה למעלה, 
עומר טייכר | מדריך וטכנאי מחשבים: (42:03) : וללחוץ על מחיקה, ומחקתי את... את כל המיילים תכף הוא ימחק את הכל 
עומר טייכר | מדריך וטכנאי מחשבים: (42:11) : כל המיילים מהאליסון כנראה יש הרבה מחקתי את כל המיילים מהאליסון 
עומר טייכר | מדריך וטכנאי מחשבים: (42:18) : אותו דבר נגיד סמוב כפתור ימניח ניפוס הדעות אימייל מעט סמוב ביטול החשמה ביטול 
עומר טייכר | מדריך וטכנאי מחשבים: (42:31) : בדרך כלל לשאלה שלכם, מגבי הסערר מרשימת תפוצה, 
עומר טייכר | מדריך וטכנאי מחשבים: (42:37) : בעצם, 
עומר טייכר | מדריך וטכנאי מחשבים: (42:39) : הסערר מרשימת תפוצה, זה אומר שאני לא רוצה, זה כאילו מיועד למיילים, שאני לא רוצה יותר לקבל, זה לא מיילים, סדוניים, או דברים, או נשים שאני רוצה לחסום, אז אני לוחץ ביטול שליחה, אני רוצה לוחץ על ביטול הרשמה, אבל, זה לא, 
עומר טייכר | מדריך וטכנאי מחשבים: (42:58) : לא רואה מה שאני עושה אוקיי זה לא תמיד 
עומר טייכר | מדריך וטכנאי מחשבים: (43:02) : אני לא יודע חלק רואים חלק לא רואים אני לא כך יודע. 
עומר טייכר | מדריך וטכנאי מחשבים: (43:07) : בכל מקרה כשאני מבטא לו את הרישום שלי לרשימת תפוצה זה לא תמיד עובד אוקיי זה חשוב להגיד שזה לא תמיד עובד ובגלל זה יש כפתור החסימה למקרה שביטול. הרשמה לא עובד זה נכון שבהרבה מהמקרים אתם יכולים לעשות רק ביטול הרשמה ואתם לא תקבלו את האימייל הזה יותר אבל אם זה לא עובד ואתם לחצתם וניסיתם לבטל את ההרשמה ועדיין אתם מקבלים מייל אם אתם יכולים לבצע חסימה האם זה מובן 
עומר טייכר | מדריך וטכנאי מחשבים: (43:42) : תכתבו לי בתגובות 
עומר טייכר | מדריך וטכנאי מחשבים: (43:47) : יש שאלה עוד שאלה שאני שאלה מקודם איך אני נכנס להגדרות של הג'י מיילו יש לי כפתור 
עומר טייכר | מדריך וטכנאי מחשבים: (43:56) : על הכפתור של גלגל השיניים אני הולך לדף ההגדרות 
עומר טייכר | מדריך וטכנאי מחשבים: (44:02) : ופה בדף ההגדרות יש לי זמן לביטול שליחה ועוד כל מיני הגדרות של הג'י מיילו. 
עומר טייכר | מדריך וטכנאי מחשבים: (44:10) : אוקיי נקטין את החלון 
עומר טייכר | מדריך וטכנאי מחשבים: (44:13) : נעבור למצגת שלי 
עומר טייכר | מדריך וטכנאי מחשבים: (44:17) : האם יש דרך למחוק את כל המיילים ממישהו כמות גדולה מעל 50 בוודאי. בוודאי יש תכף אני אראה. נרשמתם פעם להרצאה ומאז אתם מקבלים מייל על הרצאות שלא מעניינות אתכם. אתם יכולים לעשות ביטול הרשמה וחסימה במידה וביטול הרשמה לא עובד שוב. אתם יכולים לעשות רק ביטול הרשמה וחסימה אני באופן אישי כדי לבטל באופן מוחלט. את המייל עם אותו דבר, אני לא מתחיל לעשות ביטול הרשמה ואז לראות אם זה עובד או לא עובד, אוטומטי חסימה, אוקיי? 
עומר טייכר | מדריך וטכנאי מחשבים: (44:54) : קיבלתם מייל מטריד, חסמו את השולח ואז מחכו את כל ההיסטוריה שלו מהתיבה, כמו שהראיתי לכם, כפתור ימני על המייל, הצג את כל המייל עם אותו שולח. יש לכם תיבה מבולגנת, ממנויים ישנים, התחילו לסדר דרך ביטול הרשמה וחיפוש לפי שולח. 
עומר טייכר | מדריך וטכנאי מחשבים: (45:14) : תזכורת על תשלומים שלא רלוונטיים יותר, מחיקה מהירה לפי שולח. 
עומר טייכר | מדריך וטכנאי מחשבים: (45:22) : הנושא הבא שאני רוצה לדבר עליו נקרא, אני לא יודע מה לחצתי. הרבה פעמים כשאני יושב עם לקוח על הג'י מיילו, אני שומע את אותו המשפט. 
