עומר טייכר | מדריך וטכנאי מחשבים: (21:29) : עוד חמש דקות מתחילים 
עומר טייכר | מדריך וטכנאי מחשבים: (26:57) : וזה בדיוק מה שאני עושה כאן. בסדרה מיומנו של טכנאי המחשבים. בכל פרק אני חושף מה שאני רואה בשטח, ומתרגם את זה לכלים פרקטיים, שכל אחד יכול ליישם בבית, גם בלי ידע מוקדם בכלל. בפרק הזה נלך דרך שלוש תקלות אמיתיות, של רוני, נועה, דורית, ארבע תקלות. רוני, נועה, דורית וטל. נראה איך כל אחת מהן חושפת זווית אחרת על ביצועים, אינטרנט לא יציב ומטפסת שמסרבת לשתף פעולה. תוך כדי אתם מוזמנים לכתוב שאלות בצ'אט ובסוף ההרצאה אני עונה על הכל, עד שהזום יחליט שנמאס לו מאיתנו. מוכנים? בואו נתחיל את פרק 2. 
עומר טייכר | מדריך וטכנאי מחשבים: (27:57) : תראה את זה אני מתחיל, אני רוצה שתגידו לי בת שאת אתם רואים את זה כמו שצריך שזה זז אתם רואים את הסמן הגדול? חשוב לשתירו ברור 
עומר טייכר | מדריך וטכנאי מחשבים: (28:11) : לא להתבייש, לכתוב 
עומר טייכר | מדריך וטכנאי מחשבים: (28:17) : עד שאתם לא קודמים אני לא מתחיל תכתבו לי שאתם שומעים, רואים זה חשוב כי אני לא רואה את עצמי 
עומר טייכר | מדריך וטכנאי מחשבים: (28:28) : יופי. 
עומר טייכר | מדריך וטכנאי מחשבים: (28:38) : אז בואו נבאים להרצאה מיומנו של טכנאי מחשבים, פרק 2, דברים שלא ידעתם על המחשב שלכם. 
עומר טייכר | מדריך וטכנאי מחשבים: (28:46) : נתחיל עם המקרה 
עומר טייכר | מדריך וטכנאי מחשבים: (28:48) : של רוני. 
עומר טייכר | מדריך וטכנאי מחשבים: (28:50) : רוני, בן 72, אדם רגוע שלא ממהר להוציא כסף. הוא משתמש במחשב כל יום, 
עומר טייכר | מדריך וטכנאי מחשבים: (28:59) : לא עושה איתו משהו כבד, אבל הוא אוהב שהוא עובד, פשוט עובד. 
עומר טייכר | מדריך וטכנאי מחשבים: (29:06) : הבן שלו אמר לו, אבא, הגיע הזמן לקנות מחשב חדש. אבל רוני לא ממהר, הוא לא זורק סתם כסף בשביל משהו שכבר עובד. אז הוא מתקשר אליי, שמה אומר, אני לא צריך משהו חזק, אני רק רוצה לדעת, לשדרג או לא? אני מתחיל לשאול אותו, כמה זיכרון יש לך? SSD או דיסק רגיל? איזה דור המאבד שלך? ווינדוס 10 או ווינדוס 11? ורוני שותק. הוא מרגיש כמו מישהו שהגיע למוסך, ואפילו לא יודע אם האוטה שלו דיזל או בנזין. אז היום, אנחנו נלמד כמו שרוני למד, איך לבדוק לבד מה יש במחשב, ואיך לבדוק סוף סוף. מה משפיע על מהירות המחשב שלכם? 
עומר טייכר | מדריך וטכנאי מחשבים: (30:03) : בשביל לעשות את זה 
עומר טייכר | מדריך וטכנאי מחשבים: (30:06) : אני אפתח תוכנה שנקראת ספסי אני אראה לכם בקצרה איך מורידים אותה שתוכלו, אני אשלח לכם את זה במייל הסיכום ושתוכלו לראות 
עומר טייכר | מדריך וטכנאי מחשבים: (30:18) : כותבים 
עומר טייכר | מדריך וטכנאי מחשבים: (30:20) : תוכנה חינמית לחלוטין 
עומר טייכר | מדריך וטכנאי מחשבים: (30:23) : למי שלא יודע ספסי זה מלשון specification זה בעצם אומר לכם מה המפרט שיש לכם במחשב כותבים spacy לוחצים download free פה לוחצים free download אני עושה סמנג גדול לדבר על זה יותר מאוחר 
עומר טייכר | מדריך וטכנאי מחשבים: (30:42) : איך לוחצים free download ומורידים את זה פשוט פשוט פשוט free download סבבה אני לא אתקין את זה פשוט וקלו 
עומר טייכר | מדריך וטכנאי מחשבים: (30:52) : לאחר מכן אני פותח את התוכנה, 
עומר טייכר | מדריך וטכנאי מחשבים: (30:57) : היא תרוץ כמה שניות, והיא תראה לכם את כל המפרט של המחשב שלכם, בצורה מדויקת. 
עומר טייכר | מדריך וטכנאי מחשבים: (31:06) : הדבר הראשון שאני רוצה לדבר עליו, זה מערכת ההפעלה. כמו שאתם יכולים לראות, לי יש Windows 11 OM, 
עומר טייכר | מדריך וטכנאי מחשבים: (31:14) : OM זה גרסה, לא נפרד, זה לא רלוונטי כרגע, אם זה OM או Pro או Professional, 
עומר טייכר | מדריך וטכנאי מחשבים: (31:20) : מה שחשוב זה, הרבה לקוחות שואלים אותי, 
עומר טייכר | מדריך וטכנאי מחשבים: (31:24) : האם לשדרג לווינדוס 11 מי שאין לו עדיין? האם לקנות מחשב חדש בשביל ווינדוס 11? יש כאלה שעובדים עם ווינד 
עומר טייכר | מדריך וטכנאי מחשבים: (31:32) : ואני אומר דבר כזה, 
עומר טייכר | מדריך וטכנאי מחשבים: (31:35) : מי שיכול לשדרג לווינדוס 11 ויש לו מחשב שתואם לווינדוס 11, שישדרגו. במיוחד שכבר ווינדוס 10 אין לו עדכונים, צריך להירשם לעדכונים הנוספים כמו שאתם בטח יודעים. אבל זה, בוא נגיד, בסוף צריך להתקדם, אוקיי? בסוף צריך להתקדם. ווינדוס 11 זאת מהלכת הפעלה מבושלת, שכבר יועלת בצורה טובה. 
עומר טייכר | מדריך וטכנאי מחשבים: (32:02) : מי שיש לו מחשב תואם אני כבר אראה איך בודקים המחשב הזה תואם 
עומר טייכר | מדריך וטכנאי מחשבים: (32:06) : כדאי לשדר רגע 
עומר טייכר | מדריך וטכנאי מחשבים: (32:09) : הדבר הבא שאני רוצה להראות לכם זה המאבדו אני אראה לכם רגע איך הוא נראה 
עומר טייכר | מדריך וטכנאי מחשבים: (32:17) : ככה הוא נראה במחשב, המאבדו 
עומר טייכר | מדריך וטכנאי מחשבים: (32:23) : המאבד בעצם 
עומר טייכר | מדריך וטכנאי מחשבים: (32:25) : זה המוח של המחשב שלנו 
עומר טייכר | מדריך וטכנאי מחשבים: (32:29) : ככל שהוא אני אראה לכם עוד משהו אתם רואים את המספר הזה? 
עומר טייכר | מדריך וטכנאי מחשבים: (32:34) : 8700 אני אגדיל את זה קצת 8700 מה זאת אומרת 8700? בעצם 
עומר טייכר | מדריך וטכנאי מחשבים: (32:44) : אינטל שמייצרים את המאבדים הם כל שנה מייצרים דור חדש 
עומר טייכר | מדריך וטכנאי מחשבים: (32:51) : 8 הספרה הראשונה מייצגת את הדור של המאבדו אוקיי? אם למשל אם למשל 
עומר טייכר | מדריך וטכנאי מחשבים: (33:01) : המאבט שלי הוא 8700 והיום אנחנו דור 15 זה אומר שהמחשב הזה בין 7 ככה אתם יכולים לדעת בין כמה המחשב שלכם ששואלים אתכם בין כמה המחשב לא צריך להסתכל על הקבלות על החשבוניות על התשלומים זה לא רלוונטי אתם יכולים להיכנס לתוכנה הזאת לראות מה דור המאבט שלכם לחשב 15 מינוס הספרה הראשונה ולגלות את ה... למחשב, לגלות את הגיל של המחשב. 
עומר טייכר | מדריך וטכנאי מחשבים: (33:33) : במחשבים נייחים, מחשבים ביתיים נייחים, 
עומר טייכר | מדריך וטכנאי מחשבים: (33:38) : דור המאבד הוא לא כזה קריטי, זאת אומרת שמעל דור 8, אתם רואים דור 8, זה הדור הראשון שממנו אפשר להתקין את ה-Windows 11. מתחת לדור 8, אם יש לכם דור 7 לדוגמה או דור 6, אי אפשר להתקין ל-Windows 11, הוא ניתן להתקין רק מדור 8. זאת אומרת שאם למשל אתם רוצים לשדרג את המחשב שלכם והוא מתחת לדור 8, נגיד דור 7, 6 לא שווה. לא שווה להשקיע בו כסף, לא שווה לשדרג אותו. אם יש לכם מעל דור 8 שווה לשדרג אותו ולא לקנות חדש. כי ניתן. 
עומר טייכר | מדריך וטכנאי מחשבים: (34:16) : במחשבים נהדים למשל 
עומר טייכר | מדריך וטכנאי מחשבים: (34:19) : שווה לשדרג את המחשב גם אם הוא דור 8 ואני אסביר למה. 
עומר טייכר | מדריך וטכנאי מחשבים: (34:26) : ככל שאנחנו מתקדמים בדורות, אין הרבה הבדל מבחינת המהירות של המאבד. אבל יש הבדל גדול בצריכת האנרגיה שלו ובהתחממות שלו. ככל שמאבד הוא חם יותר והוא צורך יותר אנרגיה, הסוללה שלנו תתקצרו. זאת אומרת, ככל שהדור יהיה יותר מתקדם, המחשבים הנהדים שלנו יעבדו יותר זמן. וזה מה שאנחנו רוצים במחשב ניידו שהוא יעבוד כמה שיותר זמן בלי סוללה זאת המטרה הראשית שלו 
עומר טייכר | מדריך וטכנאי מחשבים: (35:03) : הדבר השלישי שאני רוצה לדבר עליו זה הזיכרון אתם יכולים לראות לי יש המון זיכרון יש לי 32 ג'יגה אבל לרובנו יש או 8 או 16 הרם משפיע על עבודה במקביל למשל אם אתם עובדים עם הרבה כרטיסיות בחרום 
עומר טייכר | מדריך וטכנאי מחשבים: (35:23) : עובדים עם הרבה תוכנות פתוחות. היום, בעולם שלנו, כשאנחנו מגבים לענן את כל המסמכים שלנו והתמונות, ואת כל החיים שלנו מגבים לענן, והתוכנה של הענן היא שואבת את הזיכרון שלנו, היא משתמשת בהמון המון זיכרון. 
עומר טייכר | מדריך וטכנאי מחשבים: (35:42) : בהמשך אני אראה לכם איך רואים את מה שרץ ברקע, אני אראה לכם לזה בהמשך. 
עומר טייכר | מדריך וטכנאי מחשבים: (35:49) : רצוי אם אתם קונים עכשיו חדש. שיהיה לו 16 ג'יגה זיכרון וגם אם אתם משדרגים את המחשב שלכם נניח שיש לכם מחשב נייח שהוא דור 8 ומעלה אפשר לשדרג אותו משמונה ל-16 זה ניתן, 32 אתם לא צריכים רק מי שהוא עורך וידאו וכבר אני מניח שהוא חשב על זה מראש אבל רצוי שתשדרגו ל-16 
עומר טייכר | מדריך וטכנאי מחשבים: (36:15) : ג'יגה 
עומר טייכר | מדריך וטכנאי מחשבים: (36:17) : הדבר הבא שאני רוצה לדבר עליו זה כרטיס המסך תודה. בסוף נדבר על הלוח. 
עומר טייכר | מדריך וטכנאי מחשבים: (36:23) : אה, לפני שאני ממשיך, אני רוצה להראות לכם איך נראה הזיכרון, למי שמכם לא מכיר. ככה נראה הזיכרון שלנו. זיכרון רם. זיכרון רם הוא בעצם זיכרון לדבר קצר זה כמו שאמרתי הוא אחראי על התוכנות שאנחנו מריצים במקביל הארוך יותר זה זיכרון למחשב נייח זה מה שבעצם נמצא בבית שלנו קופסה גדולה הקטנים זה זיכרונות למחשבים ניידים זה הבדלים ביניהם אם חשוב לכם לדעת 
עומר טייכר | מדריך וטכנאי מחשבים: (36:58) : הדבר הבא שאני רוצה לדבר עליו זה כרטיס המסך 
עומר טייכר | מדריך וטכנאי מחשבים: (37:01) : יש שני סוגים של כרטיסי מסך כרטיסים פנימיים וכרטיסים חיצוניים אני אראה לכם, 
עומר טייכר | מדריך וטכנאי מחשבים: (37:10) : שימו לב. מימין זה כרטיס חיצוני הגדול ומשמאל זה כרטיס פנימי, זה יושב על לוח האם ומה ההבדל ביניהם? 
עומר טייכר | מדריך וטכנאי מחשבים: (37:26) : כרטיס מסע חיצוני הוא משתמש בעיקר למשחקים 
עומר טייכר | מדריך וטכנאי מחשבים: (37:31) : ולהעריכות וידאו. מה זאת אומרת? לאנשים רגילים שעובדים בגולשים באינטרנט, עובדים באופיס, אין צורך בקרטיס מסע חיצוני. קרטיס מסע חיצוני עולה הרבה כסף, זה עולה הרבה כסף. הרבה אנשים קונים מחשבים לילדים שלהם, הם רוצים לשחק. לשחק משחקים פיפה, 
עומר טייכר | מדריך וטכנאי מחשבים: (37:53) : פורטנייט, כל המשחקים האלה, 
עומר טייכר | מדריך וטכנאי מחשבים: (37:57) : והם אומרים לי, אומר, קמה למחשב? אני אומר להם. מינימום, מינימום חמש, מה חמש? המחשב שלי אומר, המחשב שלי אומר, אם עולה בבית שלוש, אלפיים חמש מאות הללמה, כי הקרטיס מסך הזה הוא מאוד מאוד יקר, זה קרטיס מסך שיש לו יכולות עיבוד מאוד מאוד גבוהות, דרך אגב כל הבינה המלאכותית, כל ה-GPT והכל, הוא משתמש בקרטיסי מסך כדי לרוץ. ולזה אנווידיה, חברה שמעצרת כרטיסי מסך היא מאוד מאוד מצליחה בשוק ההון כי בעצם כל הבינה המלאכותית מבוססת על כרטיסי המסך אני אתן לכם עוד טיפ, גם קריפטו, כל הביטקוין וכל הדברים מבוססים על עיבוד של כרטיסי המסך מי שעובד רק עם אופיס, אינטרנט אין לו צורך בכרטיס מסך כזה 
עומר טייכר | מדריך וטכנאי מחשבים: (38:55) : הוא יכול לקנות כרטיס מסך זול שמבוסס על לוח חיים 
עומר טייכר | מדריך וטכנאי מחשבים: (39:00) : והכל וזה הכל. אחד דבר גם חשוב שלמה אנחנו צריכים לדעת את הכרטיס מסך שלנו, כדי להוריד לו התקנים נכונים. לא ניכנס לזה היום, 
עומר טייכר | מדריך וטכנאי מחשבים: (39:13) : אבל התקן זה בעצם תוכנה שמאפשרת לחלק שלנו במחשב לעבוד בצורה מהירה. אם יש לנו 
עומר טייכר | מדריך וטכנאי מחשבים: (39:22) : התקנים נכונים, 
עומר טייכר | מדריך וטכנאי מחשבים: (39:25) : המחשב שלנו יעבוד בצורה יותר טובה. 
עומר טייכר | מדריך וטכנאי מחשבים: (39:29) : הדבר הבא שאני רוצה לדבר עליו זה נקרא דיסק קשיח. דיסק קשיח הוא בעצם הזיכרון לדווח ארוך שלנו. שם אנחנו שומרים את כל הקבצים שלנו, את כל הנתונים, את התמונות, את הווינדוס שלנו, את מערכת ההפעלה. יש כמה סוגים של דיסקים קשיחים. אני אראה לכם את התמונה. למי שפה, בוא נראה איפה זה, הנה תמונה. 
עומר טייכר | מדריך וטכנאי מחשבים: (39:55) : שימו לב, יש שלוש דיסקים קשיחים. שהם קיימים מהם בשוק. יש לנו את ה-HDD, 
עומר טייכר | מדריך וטכנאי מחשבים: (40:05) : הוא עובד כמו פטיפון. תכף אני אסביר לכם איך הוא עובד. זה דיסק קשיח מסוג ישן. לרוב המחשבים היום כבר אין אותו, אבל הוא נמצא בדיסקים של גיבוי. דיסקים חיצוניים של גיבוי שאתם קונים מאייבורי או קי-אס-פי או כל חנות שאתם מחברים אותו למחשב. זה דיסק-HDD 
עומר טייכר | מדריך וטכנאי מחשבים: (40:27) : עם מחד ודיסק. הוא איטי יותר, 
עומר טייכר | מדריך וטכנאי מחשבים: (40:31) : הוא נוטה להתקלקל יותר בקלות, 
עומר טייכר | מדריך וטכנאי מחשבים: (40:34) : תכף אני אסביר איך הוא עובד יש לנו את ה-SSD שזה לרובכם יש במחשב, שזה דיסק מהיר פי 50 פי 50? 
עומר טייכר | מדריך וטכנאי מחשבים: (40:47) : לא, הוא מהיר פי 10 סליחה, מהיר פי 10 SSD הוא דיסק שאין לו מחד ודיסק, הוא כאילו נקרא בלי חלקים נעים סוליד סטייט דרייב 
עומר טייכר | מדריך וטכנאי מחשבים: (41:01) : והוא עובד בתנגותר P10 מה-SDD יש לנו עוד דיסק שנקרא SSD מסוג NVMe זה מחשבים יותר חדשים שתומכים בו אתם יכולים לראות שהוא יותר קטן הוא שליש מה-SSD והוא מהיר ממנו P5 
עומר טייכר | מדריך וטכנאי מחשבים: (41:20) : מעבר לזה שהוא מהיר יותר הוא אמין יותר מה זאת אומרת אם יש לכם הפסקות חשמל, קריסות מערכת, הוא מחזיק ליותר שנים בדרך כלל, זה דיסק יותר? 
עומר טייכר | מדריך וטכנאי מחשבים: (41:35) : הוא הדיסק הכי ימין פה, משלושתם. אני רוצה להראות לכם איך דיסק ישן עובד, מסוג HDD, זה שאתם מגבים עליו את הגיבורים החיצוניים שלכם. הוא עובד בעצם כמו 
עומר טייכר | מדריך וטכנאי מחשבים: (41:51) : פטיפון. 
עומר טייכר | מדריך וטכנאי מחשבים: (41:53) : איך פטיפון עובד? מערכת ודיסק. הוא מסתובב, 
עומר טייכר | מדריך וטכנאי מחשבים: (41:58) : כותב וקורא מתוך הדיסק, בדיוק כמו הדיסק שלכם. המערכת קוראת נתונים וכותב. כשאני כותבת נתונים על הדיסק, לאט לאט הדיסק הזה נשחק, אתם ידמיינו לעצמכם שככל שעובר הזמן, המחץ שורט את הדיסק, הדיסק הזה נשחק, הוא הופך להיות איטי יותר עד שהוא מת. לכן דיסקים קשיחים הופכים להיות איטיים יותר. בגלל זה, מי שמתקשר אליי ולמשל אומר לי, עומר המחשב שלי איטי ואני רואה שיש לו דיסק קשיח מסוג HDD, 
עומר טייכר | מדריך וטכנאי מחשבים: (42:30) : אני יודע שהוא חייב לשרג את הדיסק, אי אפשר לנקות לו נתונים 
עומר טייכר | מדריך וטכנאי מחשבים: (42:35) : אני רוצה להראות לכם איך רואים בתוכנה איזה סוג דיסק יש לכם יש HDD שאם יש לכם אותו יהיה כתוב לכם פה SATA אם יש לכם HDD יהיה כתוב לכם SATA לא יהיה כתוב לכם HDD יהיה כתוב לכם SATA אם יש לכם SSD יהיה לכם משום SSD וזהו 
עומר טייכר | מדריך וטכנאי מחשבים: (42:59) : NVMe כמו מה שיש לי לך unknown ssd ככה זה מוגדר unknown ssd זה בעצם NVMe 
עומר טייכר | מדריך וטכנאי מחשבים: (43:12) : הדבר הבא שאני רוצה לדבר עליו זה לוח האם 
עומר טייכר | מדריך וטכנאי מחשבים: (43:16) : לוח האם זה הרכיב שעליו יושבים כל הדברים כרטיס המסך, הזיכרונות המאבד 
עומר טייכר | מדריך וטכנאי מחשבים: (43:27) : הכרטיס כל שלנו, הכל, הכל, הכל, הכל יושב על לוח הים. אתם יכולים לראות, זה חריצים של זיכרונות, זה של המאבד, כל דבר פה נכנס למקום. למה בעצם חשוב לנו לדעת, איזה לוח אם יש לנו? כי בעצם אפשר להוריד התקנים מיוחדים, שוב, אני לא אכנס לזה עכשיו, זה עולם נפרד, גם זה קצת מורכב, שאם אנחנו עושים התקנים נכונים על הלוח אם, הוא פשוט, אתה מחושב שאנו רץ יותר מהר, זה הכל. 
עומר טייכר | מדריך וטכנאי מחשבים: (43:58) : הדבר הרבה שאני רוצה לדבר עליו, שהוא אולי החשוב ביותר שאני רוצה להתמקד עליו היום, זה הטמפרטורה של המחשב שלנו. אתם יכולים לשים לב שיש לנו פה 
עומר טייכר | מדריך וטכנאי מחשבים: (44:12) : ליד הרכיבים המרכזיים, למשל לוח האם, הקרטיס הגרפי, המאבט שלנו, טמפרטורה. 
עומר טייכר | מדריך וטכנאי מחשבים: (44:22) : המערכת הזאת יודעת לסמן מצוין את הטמפרטורות, צהוב. זה אומר שזה... 
עומר טייכר | מדריך וטכנאי מחשבים: (44:28) : קריירי יחסית, כתום זה בינוני, לא צריך לדאוג, ואדום זה אומר שזה חם, לא מומלץ. 
עומר טייכר | מדריך וטכנאי מחשבים: (44:38) : מה לא רואים? 
עומר טייכר | מדריך וטכנאי מחשבים: (44:41) : תכתוב לי מה לא רואים, תסביר לי. 
עומר טייכר | מדריך וטכנאי מחשבים: (44:51) : לא ראיתם כלום עד עכשיו? 
עומר טייכר | מדריך וטכנאי מחשבים: (45:01) : רגע, אה רק עכשיו בוא נראה למה, בוא נראה למה, 
עומר טייכר | מדריך וטכנאי מחשבים: (45:05) : אני רואה ששיתוף מסך פעיל, 
עומר טייכר | מדריך וטכנאי מחשבים: (45:08) : השיתוף מסך פעיל, אני לא יודע למה אתה לא רואה, אולי עברת לקרטיסייה אחרת, 
עומר טייכר | מדריך וטכנאי מחשבים: (45:18) : שרואים רק אותי, אבל אתה יכול לעבור לקרטיסייה של שיתוף מסך, 
עומר טייכר | מדריך וטכנאי מחשבים: (45:23) : נמשיך, 
עומר טייכר | מדריך וטכנאי מחשבים: (45:25) : אני רוצה לדבר בעיקר, 
עומר טייכר | מדריך וטכנאי מחשבים: (45:29) : על הטמפרטורה של המאבד. היא הכי חשובה למהירות של המחשב שלנו. כשאנחנו פותחים את התוכנה בפעם הראשונה, אנחנו נראה קפיצה בטמפרטורות. פתאום אנחנו נראה שהיא 80 מעלות, 75 מעלות, 
עומר טייכר | מדריך וטכנאי מחשבים: (45:46) : אבל זה תוך כמה שניות ירד לטמפרטורה האמיתית של המחשב שלנו. אם הטמפרטורה שלנו היא גבוהה, 
עומר טייכר | מדריך וטכנאי מחשבים: (45:56) : יש כאילו סיבה אחת. שיש אבק על גוף הקירור של המאבד. ככה נראה בעצם המאבד שלנו. יש לנו את המאבד, הוא יושב על לוח חיים, מעליו יש גוף קירור, דרך אגב גם במחשב נייד וגם במחשב נייח. פשוט במחשב נייד קשה להגיע אליו, 
עומר טייכר | מדריך וטכנאי מחשבים: (46:18) : שמח קל יותר להגיע אליו. 
עומר טייכר | מדריך וטכנאי מחשבים: (46:22) : ומעליו יש את המעברר שלנו. עכשיו אני אתן לכם טיפ של מקצוענים. שאתם הולכים להשתמש בו, אוקיי? הרבה מכם מנקים את המחשב שלכם קלאסי. חלק קונים עפוח אוויר, האלה שממש משקיעים, חלק לוקחים שואב אבק. כל אחד יש לו את הטכניקה אחרת, יש כאלה 
עומר טייכר | מדריך וטכנאי מחשבים: (46:46) : שמכלל לא נקים את המחשב שלהם, שזה הכי חמור. יש בתים שצוברים יותר אבק, אני מניח שאתם יודעים, במיוחד אנשים. יש בתים שצוברים פחות אבק. בתים שצוברים אבק. אפשר לראות לפעמים שהמחשב שלהם מבפנים נראה כמו, 
עומר טייכר | מדריך וטכנאי מחשבים: (47:06) : לא יודע להגדיר, משהו 
עומר טייכר | מדריך וטכנאי מחשבים: (47:10) : שלא נברא. 
עומר טייכר | מדריך וטכנאי מחשבים: (47:12) : כשיש אבק על גוף הכירור, מה שקורה שהוא לא מאפשר להעביר מתוך המעברר לרדת לתוך המאבד, ולכן הוא מתחמם. אז מה עושים? אני אראה לכם פה, הבאתי פרופס. אתם רואים את זה? 
עומר טייכר | מדריך וטכנאי מחשבים: (47:35) : אה? פן? אתם רואים את הפן? יש בכל בית. 
עומר טייכר | מדריך וטכנאי מחשבים: (47:41) : מה עושים? עושים דבר כזה. קודם כל מפעילים את הפן 
עומר טייכר | מדריך וטכנאי מחשבים: (47:48) : על החלק של הכירור. רק על החלק. אתם רואים? תהיו קצת אקטיביים, לא לישון. 
עומר טייכר | מדריך וטכנאי מחשבים: (47:56) : מפעילים את הפן על החלק של הכירור. אוקיי? כדי שהרכיבים לא יתחממו, ורואים? 
עומר טייכר | מדריך וטכנאי מחשבים: (48:06) : ומנקים את החריצים בעזרת 
עומר טייכר | מדריך וטכנאי מחשבים: (48:13) : מכחול או מברשת כזאת. מנקים בין החריצים, למה? אם הרקע מסתיר את הפן, טוב. פן, פן, לא משנה, פן. 
עומר טייכר | מדריך וטכנאי מחשבים: (48:25) : ויש לכם מכחול או משהו? שאתם יכולים לנקות בין החריצים אוקיי הנה 
עומר טייכר | מדריך וטכנאי מחשבים: (48:33) : פן יפה אם אתם 
עומר טייכר | מדריך וטכנאי מחשבים: (48:40) : לא יש לי לא יש לי קודם כל נכון אבל יש מקחול יש מקחול אם אתם לא תנקו בין החריצים זה חשוב מאוד אם לא תנקו בין החריצים האבק לא יצא אתם יכולים לשים 
עומר טייכר | מדריך וטכנאי מחשבים: (48:56) : שואב אבק 
עומר טייכר | מדריך וטכנאי מחשבים: (48:58) : מפוח אוויר, מה שאתם רוצים, אם לא תנקו בין החריצים זה לא יצא, צריכים לנקות בין החריצים. כשהמחשב חם, במיוחד במחשבים ניידים, חשוב לדעת שזה מקצר את חיי הסוללה, זה מעט את המחשב ויש פתאום המחשב נכבה, מתקבע, נכבה באמצע העבודה, פתאום אתם תרגישו שהוא מתקבע ואתם תגידו וואי וואי המחשב total loss זה בגלל בעיקר בגלל הטמפרטורה הגבוהה של המאבדו 
עומר טייכר | מדריך וטכנאי מחשבים: (49:35) : אני רוצה להראות לכם עוד טיפ של הלופים אוקיי זה טיפ של מתקדמים קצת אתם לא חייבים להשתמש בו אתם יכולים ללחוץ על הכפתור file ללחוץ פה על save as text אוקיי לשמור את כל הנתונים של המחשב שלכם אה לא, 
עומר טייכר | מדריך וטכנאי מחשבים: (49:57) : זה רק למתקדמים, אתם לא צריכים לדעת את זה, אוקיי? לשמור את זה, לתת את זה לבינה מלאכותית, והיא תוכל לנתח את כל המחשב שלכם בצורה מדויקת יותר, יש פה דברים שהם למתקדמים, שאפילו אני קשה לקרוא אותם, שהבינה עוזרת, 
עומר טייכר | מדריך וטכנאי מחשבים: (50:13) : אם תרצו לדעת על זה יותר, אני אשמח לעזור לכם. 
עומר טייכר | מדריך וטכנאי מחשבים: (50:18) : הנושא הבא שאני רוצה לדבר עליו, זה, אה, אה, זה כבר, לא, המקרה של נועה. 
