עומר טייכר | מדריך וטכנאי מחשבים: (24:15) : עוד חצי דקה מתחילים. עוד חצי דקה מתחילים. 
עומר טייכר | מדריך וטכנאי מחשבים: (31:24) : אז נדבר על המאבד שלכם למאבד יש כמה גרסאות כמה רמות יש לנו i3 אם אתם יכולים לראות אינטל קור i7 יש i3, i5, i9 גם למחשבים ביתיים זה בדרך כלל ננה מi3 לi7 כאשר i7 הוא החזק ביותר כמו המחשב שלי i3 הוא החלש ביותר במידה ואתם רוצים לקנות מחשב חדש ואתם עובדים 
עומר טייכר | מדריך וטכנאי מחשבים: (31:56) : בתוכנות ביתיות כמו אופיס אינטרנט וכולי מספיק לכם i5 לא ממליץ לקנות את הi3 לאחר מכן אתם יכולים לראות פה מספר, הוא יכול להיות בין 4 או 5 ספרות, כאשר הספרה הראשונה מייצגת את דור המעבד. מה זאת אומרת דור המעבד? כל שנה אינטל מפתחים דור חדש. זאת אומרת שאם אנחנו, אם זה דור 8, זה נוצר אחרי 8 שנים שהוציאו את המעבד הזה. היום אנחנו בדור 14. זאת אומרת שכמה זמן המחשב הזה קיים? 14 מינוס 8, 6 שנים. ככה בעצם תוכלו לדעת כמה זמן המחשב שלכם קיים. בזמני היה נפוץ לקנות לפי דור המעבד. זאת אומרת, בזמן שאני קניתי היינו בדור 8. היום שאנחנו בדור 14, לא תמיד מוכרים לכם את הדור האחרון שהוא דור 14, לפעמים מוכרים לכם דור 13 או דור 12, זה לא כל כך קריטי, אוקיי? 
עומר טייכר | מדריך וטכנאי מחשבים: (33:02) : אני כן ממליץ לקנות את הדור האחרון במידה ויש לכם כסף ואתם יכולים מהסיבה הפשוטה שבמחשבים ניידים זה מאפשר צריכת אנרגיה נמוכה. ההבדלים העיקריים בין המעבדים במיוחד בשנים האחרונות זה צריכת האנרגיה. מהירות דווקא היא לא ממש משנה, יותר מה שמשנה, צריכת האנרגיה. 
עומר טייכר | מדריך וטכנאי מחשבים: (33:24) : הדבר הבא שאני רוצה לדבר עליו הוא הזיכרון. הזיכרון רם. אני קודם כל אראה לכם איך זה נראה על לוח ההם. תסתכלו. 
עומר טייכר | מדריך וטכנאי מחשבים: (33:34) : למי שלא יודע איך זה נראה. 
עומר טייכר | מדריך וטכנאי מחשבים: (33:37) : ואנחנו נלך קצת לדבר עליו 
עומר טייכר | מדריך וטכנאי מחשבים: (33:41) : אתם יכולים לראות שבמחשב שלי יש 48 ג'יגה זיכרון, שאתם יכולים להניח שזה הרבה. 
עומר טייכר | מדריך וטכנאי מחשבים: (33:50) : זיכרון גדול בעצם הוא משפר את טעינה של הרבה תוכנות במקביל. לדוגמה אם אתם עובדים עם הרבה כרטיסיות בחרום, או שאתם עובדים עם הרבה תוכנות במקביל זה משפר. אני ממליץ למי שקונה מחשב חדש או משדרג את המחשב שלו לפחות 16 ג'יגה רם. שזה מה ש... כי היום ככל שהזמן עובר התוכנות צריכות יותר משאבים. ואני ממליץ לפחות 16 ג'יגה רם. מי שעורך וידאו או סאונד 32 ג'יגרם 
עומר טייכר | מדריך וטכנאי מחשבים: (34:24) : הדבר הרבה שאני רוצה לדבר עליו זה כרטיס המסך כרטיס המסך נראה ככה הוא גם נקרא כרטיס גרפי ככה הוא נראה על לוח האם בתוך המחשב שלנו. 
עומר טייכר | מדריך וטכנאי מחשבים: (34:37) : אני אסגור ואני אדבר עליו קצת. בעצם מה זה כרטיס גרפי? כרטיס גרפי זה הכרטיס שבעזרתו אנחנו מריצים את האנימציה ‫ואת הגרפיקה במחשב שלנו. ‫יש לנו כרטיס מסך פנימי וחיצוני. ‫פנימי זה לאנשים ‫שיותר משתמשים באופיס ‫ולא צריכים איזה מחשב מיוחד ‫להעריכה של סרטונים ודברים כאלה. כרטיס חיצוני זה כרטיס בדרך כלל שילדים מבקשים שהם רוצים לשחק פורטנייט או משחקים עם גרפיקה מיוחדת ואנשים שעובדים בעריכת וידאו, עריכת תמונות, עריכת סאונד, כל מיני סוגים של עריכות. ‬‬‬‬‬‬
עומר טייכר | מדריך וטכנאי מחשבים: (35:21) : כרטיס מסך חיצוני זה הדבר שהם צריכים. עכשיו הרבה אנשים שואלים אותי איזה כרטיס אני צריך לקנות לילד שלי. אוקיי? הילד שלי רוצה לשחק פורטנייט, רוצה לשחק מיינקראפט, רוצה לשחק דברים. 
עומר טייכר | מדריך וטכנאי מחשבים: (35:36) : מה לקנות לו? אז כרטיס מסך, ככל שהוא יותר יקר, הוא בדרך כלל יותר איכותי. אוקיי? אין גבול, אין גבול לתקציב של הדבר הזה, אין משהו להמליץ. ככל שתשקידו יותר כסף, תקבלו משהו שיש לו ביצועים יותר גבוהים. 
עומר טייכר | מדריך וטכנאי מחשבים: (35:56) : הדבר הבא שאני אדבר עליו, 
עומר טייכר | מדריך וטכנאי מחשבים: (36:00) : זה הדיסק הקשיח שלנו. שאלו אותי, ישראל שאל אותי מה זה זיכרון מטמון? זיכרון מטמון הוא לא כל כך רלוונטי כרגע, הוא נמצא בתוך המעבד, זה לא, אתה לא, אתה לא תשים לב להבדל בזיכרון מטמון, הוא לא קריטי למחשב. 
עומר טייכר | מדריך וטכנאי מחשבים: (36:16) : הדבר שאני רוצה לדבר עליו זה דיסק קשיח. קודם כל ככה נראה דיסק קשיח מהדור הישן hdd 
עומר טייכר | מדריך וטכנאי מחשבים: (36:26) : ואני אסביר לכם רגע איך הוא עובד. אני אפילו לכם 
עומר טייכר | מדריך וטכנאי מחשבים: (36:31) : סרטון 
עומר טייכר | מדריך וטכנאי מחשבים: (36:33) : אני רוצה שתראו אותו כמה שניות 
עומר טייכר | מדריך וטכנאי מחשבים: (36:36) : חתול שעולה על פאטיפון 
עומר טייכר | מדריך וטכנאי מחשבים: (36:45) : איך בעצם דיסק השיח עובד דיסק השיח מסוג hdd כמו שאתם יכולים לשים לב הוא עובד כמו פאטיפון, תסתכלו יש לכם את המחת ואת הדיסק. ככל שעובר הזמן, המחת כותבת על הדיסק, והדיסק הולך ונשחק. היא גם קוראת את המידע מהדיסק וגם כותבת עליו. אילא שהדיסק עובד הרבה, אז אנחנו בעצם, הדיסק הזה הולך ונשחק. ככל שמשתמשים בו יותר הוא נהיה איטי, ואם אנחנו לא מטפלים בו בזמן, כשהמחשב הופך לאיטי, הוא יכול אפילו להפסיק לעבוד לגמרי, ואנחנו נצטרך להוציא אלפי שקלים על שחזורו לכן למי שיש דיסק מסוג ישה שנקרא SDD אני ממליץ 
עומר טייכר | מדריך וטכנאי מחשבים: (37:32) : לשדרג אותו לדיסק מסוג SSD SSD זה דיסק ללא חלקים נעים אין לו מחד 
עומר טייכר | מדריך וטכנאי מחשבים: (37:42) : ודיסק ולכן הוא עמיד יותר הוא מחזיק לאורך הזמן והוא גם מהיר יותר אוקיי? במחשבים החדשים רגע בוא נראה מה כתבתם לי 
עומר טייכר | מדריך וטכנאי מחשבים: (37:54) : במחשבים החדשים יש דיסקים מסוג NVMe זה דיסקים שמהירים P10 לפחות מפה 10 מSSD תחשבו ככה דיסק SSD מהיר P50 אז יפה איך את יודעת תכף אנחנו נראה אני קודם כל מראה לכם איך זה נראה 
עומר טייכר | מדריך וטכנאי מחשבים: (38:14) : דיסק NVME מהיר פי 10 מ SSD ו SSD מהיר פי 10 מHDD איך אתם יודעים יפה מאוד אז ככה בתוך התוכנה אתם יכולים לראות את הכישור לתוכנה, תוכנה חינמית פשוטה ניתן לכם בסוף. אתם יכולים לראות בתוך סטורג' בתוך היחסוד יש לכם את כל הקוננים שיש לכם במחשב. עכשיו איך אתם יודעים אם זה NVMe, SSD? איך אתם יודעים? 
עומר טייכר | מדריך וטכנאי מחשבים: (38:42) : כשהקונן הוא HDD, הוא מדור ישן, לא יהיה כתוב לכם ssd יהיה רשום לכם sata אבל לא ssd לא יהיה רשום לכם hdd לא יהיה רשום hdd פשוט לא יהיה רשום ssd וככה אתם יודעים שזה hdd אוקיי אם זה NVMe יהיה רשום לכם unknown unknown אומר NVMe אם אין לכם unknown ויש לכם רק SSD זה SSD אין לכם SSD זה hdd ואם יש לכם unknown זה nvme אם תדבלתי ולא הבנתם תראו אחרי זה את ההקלטה 
עומר טייכר | מדריך וטכנאי מחשבים: (39:25) : הדבר הבא שאני רוצה לדבר איתכם עוד משהו מדיסק מסוג hdd שהוא דיסק מהסוג הישן שעובד עם מחד וחוט הוא מאוד רגיש להפסקות חשמל אם תהיה הפסקת חשמל פתאומית זה יכול לפגוע בקבצים ובדיסק שלכם אני מאוד ממליץ למי שיש הרבה הפסקות חשמל בבית לקנות על פסק ולמי שרוצה לחסוך על פסק לפחות שיהיה מייצב מתח 
עומר טייכר | מדריך וטכנאי מחשבים: (39:55) : מינימום של המינימום של המינימום זה מייצב מתח אין חיה כזאת שאתם מחברים את המחשב לחשמל בלי מעצב מתח, אוקיי? 
עומר טייכר | מדריך וטכנאי מחשבים: (40:06) : עכשיו אני רוצה לדבר על הלוח ה-M שלכם. לוח ה-M שלכם נראה ככה. לוח ה-M בעצם זה החלק שאחראי לחיבור של כל הרכיבים של המחשב ביחד. המאבד, הזיכרון רם, המסך, הדיסקים וכל החלקים. למה הוא בעצם חשוב? כשאתם קונים מחשב חדש, אתם צריכים לוודא שאותו חלק מתאים ללוח האם. כל לוח האם מסוגל להכניס לתוכו רכיבים מסוימים. 
עומר טייכר | מדריך וטכנאי מחשבים: (40:41) : אתם לא יכולים לתנות כל דבר ולחבר ללוח האם שלכם אתם צריכים לוודא שזה עובד איך מוודאים 
עומר טייכר | מדריך וטכנאי מחשבים: (40:50) : בתוך התוכנה ספסי יש לכם את המאדר בורד שזה לוח האם במאדר בורד יש לכם פה את הדגם של הלוח אתם יכולים לראות פה את זה צוף h370 pro gaming אוקיי כל אחד יש לו לוח אחר אתם יכולים להקיש את זה בגוגל ואתם תוכלו לראות 
עומר טייכר | מדריך וטכנאי מחשבים: (41:12) : בתוצאות איזה בדרך כלל הם משתמשים פשוטים אתם לא צריכו להבין כל כך עדיף תפנו לאיש מקצוע ויגיד לכם מה אתם מסוגלים ומה לא. זה מאוד חשוב לא לקנות סתם מוצרים. 
עומר טייכר | מדריך וטכנאי מחשבים: (41:26) : הדבר הבא שאני רוצה לדבר עליו היא הטמפרטורה. 
עומר טייכר | מדריך וטכנאי מחשבים: (41:31) : קודם כל כשאנחנו מדברים על הטמפרטורה במחשב, נגיד שאם אתם נוגעים במחשב והוא רותח, לא טוב, לא נורמלי, לא אמור להיות ככה. טמפרטורה גבוהה מקצרת את חיי הסוללה במחשבים נהדים, היא מעטה את המחשב 
עומר טייכר | מדריך וטכנאי מחשבים: (41:49) : ‫והמחשב יכול פתאום ‬
עומר טייכר | מדריך וטכנאי מחשבים: (41:52) : להיכבות, אוקיי? ‫כי המחשב יש לו סף טמפרטורה, ‫שהוא מגיע אליה, הוא נכבה. ‫הוא לא מסוגל לעבוד ‫על טמפרטורות אין סוף. ‫איך אתם יכולים לראות ‫את הטמפרטורה? אתם יכולים לראות את הטמפרטורה הכי קריטית של המעבד? ‬‬‬‬‬‬
עומר טייכר | מדריך וטכנאי מחשבים: (42:09) : אתם יכולים לראות אותה פה. הטמפרטורה שלי היא צהובה עד כתומה, שזה טוב, ברר שהיא כתומה לאורך זמן או אדומה, לא טוב. ואני אראה לכם עכשיו טיפ, לא רק איך רואים מה יש לכם במחשב איך גם מנקים אותו אוקיי? תסתכלו 
עומר טייכר | מדריך וטכנאי מחשבים: (42:29) : מה שקורה לכם בתוך המחשב זה דבר כזה. 
עומר טייכר | מדריך וטכנאי מחשבים: (42:33) : ככה נראה גוף הקירור של המאבד שלכם. האם אפשר לקרר נייד? לא, יש לו מעבררים מובנים, אתה לא יכול להוסיף לו קירור, אתה לא יכול, 
עומר טייכר | מדריך וטכנאי מחשבים: (42:48) : אתה יכולה לשים אותו על, 
עומר טייכר | מדריך וטכנאי מחשבים: (42:52) : יש כל מיני סטנדים כאלה עם עברור, זה כן משפר קצת את הקירור שלו. תחפשי סטנדים של עברור של מחשבים נעדים, סטנדים של קירור. לא, תושבת לא, לא. 
עומר טייכר | מדריך וטכנאי מחשבים: (43:05) : ככה נראה בעצם גוף הקירור 
עומר טייכר | מדריך וטכנאי מחשבים: (43:09) : של 
עומר טייכר | מדריך וטכנאי מחשבים: (43:12) : של המאבד. אני רוצה להזכיר לכם רגע איך נראה המאבד. ככה נראה המאבד, ומעליו, מאחורי הברזל הזה, ‫זה מה שנמצא. ‬
עומר טייכר | מדריך וטכנאי מחשבים: (43:24) : הדבר הזה. ‫כשיש לכם הרבה אבק במחשב, ‫זה לא קריטי, ‫אבל אם יש לכם הרבה אבק ‫על גוף הקירור, ‫מה שקורה, שהאוויר מהמעברר ‬‬‬‬‬
עומר טייכר | מדריך וטכנאי מחשבים: (43:37) : ‫שיושב מעליו, לא נכנס פנימה לתוך המעבד. ‬
עומר טייכר | מדריך וטכנאי מחשבים: (43:41) : מעל גוף הכירור יהיה מעברר, מתחת לגוף הכירור יהיה מעבד. בעצם הגוף כירור הזה הוא בעצם מפריד בין המעברר למעבד אתם יכולים לראות כשהכל סתום האוויר לא מגיע מהמעברר למעלה למעבד למטה מה שעושים לוקחים מברשת מנקים בין החריצים, אם לא תעשו את זה, זה לא יעבוד. אם תיקחו למשל 
עומר טייכר | מדריך וטכנאי מחשבים: (44:09) : פן ותנקו את המחשב או כל דבר, או שואב אבק, לא יעבוד. אם לא תנקו בין החריצים, אתם לא תוכלו להוציא את האבק, זה מאוד חשוב. ברר שהטמפרטורה של המחשב שלכם תרד, המחשב שלכם יעבוד בצורה מהירה יותר. כן ממליץ לעשות את זה כל שנה, יש בתים שצוברים יותר אבק ויש מחשבים שצוברים פחות אבק. אז סיימנו את החלק הזה של מה יש בתוך המחשב שלנו, שזה חלק מאוד חשוב. 
עומר טייכר | מדריך וטכנאי מחשבים: (44:41) : הדבר הבא שאני אדבר עליו זה הסיפור של נועה. 
עומר טייכר | מדריך וטכנאי מחשבים: (44:48) : נועה בת 34, 
עומר טייכר | מדריך וטכנאי מחשבים: (44:51) : אימא לשתיים, עובדת מהבית בבוקר מקפיצה לגן בלילה סוגרת שדוחות באותו יום חיכתה לפגישה חשובה בזום עם לקוח גדול. ‫היא הכינה מצגת, סדרה את הרקע, ‫הכול היה מוכן, ‫ואז בדיוק כשהתחילה לדבר, ‫המסך קפה. ‫נועט, איתנו לא שומעים אותך. ‫היא ניסתה שוב, התנתקה, ‫התחברה, כלום. ‫נועט קשרה לחברת האינטרנט ‫ואמרו לה, ‫תעשי הפעלה מחדש של הראוטר, תנתקי ותחברי לחשבון. אני מניח שאתם כבר עברתם את זה. היא עשתה ועבד ליום אחד. ‬‬‬‬‬‬‬‬‬‬
עומר טייכר | מדריך וטכנאי מחשבים: (45:34) : התקלה חזרה, התקינו לה ראוטר חדש, החליפו לה את הראוטר, עבד שבוע והתקלה חזרה. במטבח יש קליטה, בסלון טס, אבל בחדר העבודה חור שחור. אז היא שאלה איך זה יכול להיות שיש לי אינטרנט אבל אין לי אינטרנט. היום אני הולך להראות לכם איך פטרתי לה את התקלה. 
עומר טייכר | מדריך וטכנאי מחשבים: (45:57) : יפה מאוד אורית נכון. 
עומר טייכר | מדריך וטכנאי מחשבים: (46:01) : אז בוא נשאל אותכם שאלה באיזה חדר בבית הקליטה שלכם הכי גרוע? סלון, ממד, חדר שינה, מדבך. אשמח שתענו לי נראה איפה אנשים הקליטה שלהם הכי גרוע. 
עומר טייכר | מדריך וטכנאי מחשבים: (46:19) : ממד, נכון? 
עומר טייכר | מדריך וטכנאי מחשבים: (46:21) : תשובה יפה, תמי, ממד. עוד מישהו? או שתנרדמתם? 
עומר טייכר | מדריך וטכנאי מחשבים: (46:31) : אני רוצה לכם 30 שניות, תכתבו קצת, אני רוצה שתפעילו את עצמכם, תפעילו את הגוף שלכם, אל תרדמו. ממד, איתה, יפה, הלאה. אני רוצה עוד מישהו. איפה הקליטה שלכם הכי גרועה? 
עומר טייכר | מדריך וטכנאי מחשבים: (46:52) : טוב, אני רואה שאתם לא מתפקדים. חדר פנימי מרוחק מהרה יותר. אוקיי יור. 
עומר טייכר | מדריך וטכנאי מחשבים: (46:59) : אז תלונות נפוצות, יפה תכף אני אסביר למה זה לא טוב. 
עומר טייכר | מדריך וטכנאי מחשבים: (47:05) : משפר דבך. תכף אני אסביר. תלונות נפוצות שאני שומע. האינטרנט בבית חלש והמהירות נמוכה. אין לי קליטה בממד, אפרופו בכלל. הבן שלי מתלונן שהמשחקים כל הזמן נתקעים האינטרנט מתנתק כל הזמן אומרים לי שבזום לא שומעים אותי טוב הכל נקטע אומרים שהתמונה שלי נקטעת ולא יציבה 
עומר טייכר | מדריך וטכנאי מחשבים: (47:33) : תארו לכם בית עם תנור חימום אחד, אוקיי? זה הראוטר שלכם. מי שיושב קרוב לתנור מרגיש חם ונעים, 
עומר טייכר | מדריך וטכנאי מחשבים: (47:43) : אבל מי שיושב רחוק 
עומר טייכר | מדריך וטכנאי מחשבים: (47:46) : מרגיש קר. 
עומר טייכר | מדריך וטכנאי מחשבים: (47:48) : בעצם היום אנחנו נדבר על מערכת מש. מערכת מש היא כמו פיזור של כמה תנורי חימום בבית, כדי שכולם ירגישו חמים ונעים. עכשיו אני אדבר אתכם על הפתרון שמפזר את האינטרנט בבית בצורה איכותית וטובה. 
עומר טייכר | מדריך וטכנאי מחשבים: (48:07) : אז בעצם איך עובד הנתב שלנו, מה שמביאים לנו מהספקית אינטרנט. 
עומר טייכר | מדריך וטכנאי מחשבים: (48:13) : ככה נראים הנתבים שלנו, אני מניח שאתם תוכלו לזהות אותם בבית שלכם. נתב של עות, נתב של בזק, נתב של סלקום, נתב של פרטנר, כל מיני חברות מביאים לנו נתבים אחרים. איך בעצם נתב עובד? תהיו קשובים, זה מאוד מאוד מעניין. נתב עובד בשתי צורות, צורה קווית וצורה על חוטית. צורה קווית זה צורה שפועלת בצורה 
עומר טייכר | מדריך וטכנאי מחשבים: (48:42) : המון שנים, היא צורה מאוד יציבה. זאת אומרת שאם אתם תחברו מחשב ישירות לראוטר שלכם, אתם תקבלו אינטרנט במהירות המקסימלית שהוא מסוגל לתת. זאת אומרת שמי שמשלם על 100 ג'יגה, 100 אמגה, יקבל 100. מי שיש לו סיבים ומשלם על 1 טרה, על 1 ג'יגה יקבל 1 ג'יגה. כל אחד יקבל את המקסימום שהוא יכול. אוקיי? איפה הבעיה? הבעיה מתחילה בעלכות. 
עומר טייכר | מדריך וטכנאי מחשבים: (49:13) : בעצם הראוטרים שמספקות לנו, ספקיות האינטרנט, הם לא ברמה גבוהה. זה באיכות של אלי אקספרס. הם מביאים את זה בזול מסין, מכל מיני חברות זולות, ומפיצים לנו מה קורה בפועל, שאנחנו מקבלים מכשיר שלא מפיץ את האינטרנט בצורה אלכותית בצורה טובה. לכן האינטרנט שאנחנו מקבלים הוא אינטרנט טוב, שלא טיטו, הוא אינטרנט טוב. 
עומר טייכר | מדריך וטכנאי מחשבים: (49:45) : בבית הלכותית הוא מתחיל להיות לא טוב. אתם לא מקבלים את האינטרנט בבית, במיוחד בממד. 
עומר טייכר | מדריך וטכנאי מחשבים: (49:53) : אז מה עושים בעצם? מה עושים אם מה שאנחנו מקבלים מהחברה הוא לא טוב, הוא לא מפיץ את האינטרנט בצורה טובה. וגם אם דרך אגב יחליפו לכם את זה, יחליפו לכם את זה לאותו ג'אנק, אתם תקבלו את אותו דבר, פשוט כאילו חדש וזה יעבוד שבוע. אז מה עושים? אז פתרון לא יעיל, כמו שכתבה אורית, זה נקרא מעריך טווח. למה הוא לא יעיל בעצם? מה שהוא עושה, הוא מושך את האינטרנט ההלכותי, הוא מושך אותו מהראוטר ומפיץ אותו בבית. ולמה הוא לא יעיל? כי אם האינטרנט ההלכותי שלנו בראוטר לא טוב, אז הוא מושך משהו שכבר לא טוב ומפיץ משהו לא טוב, אז לכן הוא עובד בצורה פחות טובה. יש בתים, נגיד יש בתים שקונים מעריך טווח מאוד מאוד חזק ומחברים מחשבים קרובים, אולי זה פתרון שהוא יכול להיות בסדר סביר, אבל הרוב הוא לא פתרון טוב. זה לא עובד כמו שצריך. 
עומר טייכר | מדריך וטכנאי מחשבים: (51:00) : פתרון כן יעיל נקרא מש, מש יכול להגיע ככה, מש יכול להגיע ככה, מש יכול להגיע ככה, מה זה בעצם מש? מש זה בעצם, 
עומר טייכר | מדריך וטכנאי מחשבים: (51:12) : בעצם שניים או שלושה ראוטרים, אתם יכולים לראות שכל אחד מהם זה ראוטר, זה ראוטרים חכמים, אוקיי? מה זה ראוטרים חכמים? הם מדברים ביניהם. 
